chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN806422.1	129546	0.60	1.00	0.93	0.88	1.00	1.00	1.00
KN806425.1	293	0.68	0.80	0.91	1.00	0.47	0.97	0.89
KN806429.1	3527	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806432.1	45697	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806432.1	45704	0.91	0.96	0.87	0.92	0.81	0.89	0.80
KN806442.1	30773	0.61	0.18	0.97	0.15	0.38	0.22	0.58
KN806446.1	150709	0.22	1.00	1.00	0.90	0.86	0.22	0.99
KN806446.1	150952	0.94	0.98	0.93	0.85	0.90	0.87	0.93
KN806446.1	150984	0.77	0.86	1.00	0.85	0.88	0.87	0.77
KN806446.1	150986	0.87	0.86	1.00	1.00	0.77	0.87	0.92
KN806446.1	150991	0.85	0.84	0.80	0.92	0.69	0.87	0.95
KN806446.1	150997	0.86	0.90	0.91	0.75	0.81	0.89	0.92
KN806460.1	37537	0.75	0.91	1.00	1.00	0.99	0.96	0.98
KN806484.1	72202	0.33	0.28	0.66	0.36	0.52	0.13	0.45
KN806497.1	52096	0.30	0.22	1.00	0.85	0.97	0.82	1.00
KN806497.1	52115	0.82	0.92	1.00	0.85	1.00	0.88	0.62
KN806497.1	52128	0.79	0.97	1.00	0.85	0.92	0.94	0.69
KN806497.1	52135	0.80	0.97	1.00	0.73	0.97	0.94	0.92
KN806500.1	31133	0.49	0.84	0.91	0.28	0.19	0.96	0.90
KN806500.1	31137	0.56	0.97	0.95	0.24	0.60	0.96	0.92
KN806516.1	77069	1.00	0.90	1.00	1.00	0.82	1.00	1.00
KN806516.1	77075	1.00	1.00	1.00	0.90	0.66	1.00	0.82
KN806516.1	77079	1.00	1.00	1.00	1.00	0.87	1.00	0.97
KN806516.1	77083	1.00	0.71	0.64	0.89	0.51	0.82	0.80
KN806516.1	77099	1.00	0.94	1.00	1.00	0.81	1.00	1.00
KN806516.1	77105	1.00	1.00	1.00	0.90	0.66	1.00	0.84
KN806516.1	77109	1.00	1.00	1.00	1.00	0.82	1.00	0.98
KN806516.1	77113	1.00	0.75	0.72	0.90	0.44	0.84	0.81
KN806516.1	77129	1.00	0.93	1.00	1.00	0.92	0.95	1.00
KN806516.1	77135	1.00	1.00	1.00	0.83	0.69	1.00	0.83
KN806516.1	77139	1.00	1.00	1.00	1.00	0.81	1.00	1.00
KN806520.1	59248	0.65	0.73	1.00	0.87	0.83	0.70	0.89
KN806528.1	5171	0.48	0.91	0.97	1.00	0.97	0.83	1.00
KN806530.1	49176	0.16	0.11	0.17	0.53	0.12	0.12	0.46
KN806531.1	24105	0.65	1.00	0.82	1.00	1.00	0.90	0.65
KN806537.1	53368	0.88	0.18	0.10	0.82	0.94	0.86	0.23
KN806578.1	28242	0.94	0.97	1.00	0.96	0.82	0.57	0.97
KN806578.1	28247	1.00	0.95	0.91	0.60	0.81	0.58	0.96
KN806582.1	976	0.65	0.57	1.00	0.88	0.97	0.88	1.00
KN806582.1	995	0.62	0.79	1.00	0.83	1.00	0.88	0.62
KN806582.1	1008	0.54	0.93	1.00	0.88	0.95	0.94	0.69
KN806582.1	1015	0.58	0.93	1.00	0.71	0.98	0.94	0.92
KN806594.1	30838	0.57	0.91	1.00	1.00	0.99	0.90	0.98
KN806610.1	27558	0.83	0.82	0.84	0.94	0.74	0.84	0.79
KN806638.1	18183	0.93	0.54	0.90	0.98	0.92	1.00	0.72
KN806638.1	18185	0.94	0.61	0.90	0.96	1.00	1.00	0.44
KN806639.1	2477	0.53	0.75	1.00	1.00	0.99	0.98	0.98
KN806643.1	578	0.86	0.65	0.73	0.50	0.25	0.89	0.56
KN806650.1	2018	0.66	0.76	1.00	0.68	0.78	0.85	0.66
KN806659.1	42658	0.82	0.57	1.00	0.88	0.65	0.96	1.00
KN806659.1	42677	0.80	0.79	1.00	0.83	1.00	0.96	0.62
KN806659.1	42690	0.76	0.93	1.00	0.88	0.94	0.98	0.69
KN806659.1	42697	0.78	0.93	1.00	0.71	0.98	0.98	0.92
KN806666.1	40809	0.82	0.83	0.76	0.90	0.75	0.70	0.86
KN806666.1	40841	0.74	0.53	0.88	0.58	0.73	0.57	0.81
KN806672.1	41179	0.24	0.92	0.69	0.50	0.57	0.58	0.91
KN806690.1	80103	0.37	0.61	0.60	0.57	0.20	0.65	0.75
KN806699.1	14482	0.33	0.92	0.80	0.94	1.00	0.97	0.84
KN806699.1	14514	1.00	0.80	0.88	0.91	0.94	0.92	0.92
KN806699.1	14516	0.94	0.93	0.75	1.00	0.85	0.87	1.00
KN806699.1	14521	0.97	0.93	0.95	0.97	0.85	0.87	0.88
KN806713.1	30826	0.74	0.88	0.63	0.64	0.69	0.79	0.66
KN806728.1	390	0.79	0.89	0.81	0.84	0.82	0.52	0.80
KN806728.1	397	0.87	0.87	0.89	0.77	0.84	0.84	0.82
KN806728.1	628	0.86	0.91	0.83	0.82	0.69	0.45	0.88
KN806729.1	15479	0.95	0.76	1.00	0.75	0.88	0.96	0.84
KN806751.1	32965	0.91	0.96	0.56	0.99	0.95	0.91	0.62
KN806751.1	33021	1.00	0.61	1.00	1.00	1.00	1.00	1.00
KN806757.1	2368	0.88	0.91	0.94	0.67	0.93	0.93	0.77
KN806764.1	40383	0.98	0.79	0.16	0.93	0.62	0.67	0.51
KN806769.1	13999	0.95	0.85	0.82	0.77	0.38	0.95	0.95
KN806773.1	9156	0.85	1.00	1.00	0.94	0.97	0.75	0.93
KN806773.1	9163	0.88	1.00	0.70	0.69	1.00	0.75	0.96
KN806773.1	9167	0.76	1.00	1.00	0.81	0.97	0.88	0.85
KN806774.1	24331	0.86	0.50	0.85	0.20	0.22	1.00	0.88
KN806791.1	11346	0.89	0.55	0.47	0.60	0.65	0.31	0.91
KN806815.1	73169	0.96	0.98	0.71	0.12	0.77	0.91	1.00
KN806826.1	5637	0.96	0.92	0.44	0.77	0.95	0.77	0.81
KN806829.1	12345	0.53	0.80	1.00	1.00	0.98	0.96	0.98
KN806829.1	39894	0.87	1.00	1.00	1.00	1.00	0.96	0.65
KN806867.1	19046	0.90	0.38	0.93	0.11	0.50	0.58	0.79
KN806867.1	19076	0.89	0.62	0.14	0.89	0.40	0.79	0.93
KN806878.1	17601	0.80	0.87	1.00	0.87	0.94	0.42	0.98
KN806878.1	17608	0.29	0.87	1.00	0.96	0.89	0.42	0.93
KN806878.1	17621	0.82	0.80	1.00	0.92	0.97	0.39	0.92
KN806878.1	17640	0.33	0.67	1.00	0.96	0.97	0.38	0.94
KN806884.1	13632	0.98	0.96	0.82	0.92	0.92	1.00	0.89
KN806884.1	13640	0.97	0.94	0.64	0.42	0.92	0.97	0.88
KN806887.1	1053	0.24	0.95	0.13	0.79	0.85	0.77	0.60
KN806889.1	6533	1.00	1.00	1.00	1.00	1.00	0.97	1.00
KN806889.1	6537	1.00	1.00	1.00	0.75	1.00	1.00	1.00
KN806905.1	38412	0.90	0.94	0.73	0.87	0.96	0.30	0.93
KN806907.1	8113	0.89	0.43	0.47	0.77	0.75	0.47	0.99
KN806907.1	32931	0.48	0.73	0.67	0.38	0.67	0.38	0.80
KN806907.1	33402	0.79	0.84	1.00	0.50	0.71	0.86	0.49
KN806907.1	33408	0.79	1.00	0.69	1.00	0.71	0.67	0.79
KN806907.1	33419	0.77	0.19	1.00	0.68	0.71	0.39	0.68
KN806917.1	32646	0.93	0.27	0.27	1.00	1.00	0.66	0.95
KN806919.1	12932	0.95	0.37	0.50	0.71	0.64	0.30	0.96
KN806919.1	13009	0.99	0.88	0.36	0.94	0.93	0.97	1.00
KN806924.1	22321	0.49	0.80	0.20	0.69	0.38	0.67	0.53
KN806924.1	22327	0.71	0.60	0.60	0.69	0.46	0.33	0.58
KN806924.1	22338	0.71	0.60	0.60	0.85	0.69	0.50	0.77
KN806924.1	22346	0.43	0.80	0.60	1.00	0.50	0.50	0.40
KN806931.1	120	0.71	0.45	0.72	0.47	0.78	0.78	0.53
KN806931.1	130	0.64	0.18	0.52	0.53	0.73	0.65	0.53
KN806934.1	13499	0.82	0.68	0.75	0.65	0.62	0.97	1.00
KN806938.1	8474	0.55	1.00	1.00	0.77	1.00	0.99	0.96
KN806938.1	8479	1.00	1.00	1.00	0.50	1.00	0.99	1.00
KN806953.1	5620	0.72	1.00	1.00	1.00	0.89	0.96	0.89
KN806958.1	37456	0.46	0.52	0.30	0.38	0.66	0.25	0.69
KN806972.1	21552	0.95	0.92	0.96	0.95	0.84	0.96	0.83
KN806972.1	21558	0.90	0.92	0.96	0.65	0.68	0.98	0.86
KN806972.1	21630	0.94	0.80	0.71	0.67	0.92	0.77	0.88
KN806977.1	14300	0.89	0.94	0.67	0.50	0.50	0.78	0.47
KN806980.1	34739	0.86	0.90	0.92	0.82	0.78	0.85	0.88
KN806980.1	34750	0.69	0.82	0.73	0.81	0.59	0.74	0.86
KN806983.1	13985	0.93	1.00	1.00	0.93	0.67	0.86	0.96
KN806983.1	13989	0.92	1.00	1.00	1.00	1.00	0.76	0.90
KN806983.1	14009	1.00	0.65	1.00	1.00	1.00	1.00	0.89
KN806983.1	14020	1.00	1.00	1.00	0.92	0.87	1.00	1.00
KN806983.1	14068	0.94	1.00	1.00	1.00	0.67	1.00	0.94
KN806983.1	14098	0.76	0.66	1.00	1.00	0.90	0.92	0.94
KN806995.1	64262	0.21	0.52	0.19	0.26	0.50	0.62	0.75
KN806995.1	64294	0.72	0.88	0.35	0.75	0.50	0.70	0.78
KN807013.1	16193	0.61	0.70	0.71	0.32	0.72	0.54	0.52
KN807016.1	13375	0.95	0.58	0.50	0.71	0.63	0.34	0.98
KN807028.1	19209	0.87	0.76	0.79	0.81	0.78	0.69	0.76
KN807033.1	10827	0.55	0.80	0.41	0.46	0.47	0.66	0.78
KN807034.1	11417	0.30	0.13	0.29	0.24	0.22	0.30	0.45
KN807034.1	11462	0.34	0.17	0.10	0.42	0.29	0.42	0.53
KN807035.1	25418	0.91	0.60	0.53	0.75	0.77	0.31	0.99
KN807043.1	24186	0.86	0.65	0.95	0.60	0.58	0.83	0.86
KN807043.1	24188	0.86	0.70	0.95	0.73	0.67	0.88	0.92
KN807043.1	24193	0.86	0.85	0.89	0.73	0.62	0.88	0.81
KN807046.1	20522	0.64	0.29	0.50	0.43	0.72	0.68	0.54
KN807046.1	20532	0.72	0.29	0.71	0.43	0.74	0.75	0.54
KN807056.1	25364	0.89	0.18	0.10	0.38	0.90	0.83	0.22
KN807073.1	3246	0.89	0.98	0.62	0.42	1.00	0.96	0.86
KN807081.1	13523	0.59	0.41	0.34	0.35	0.45	0.60	0.92
KN807086.1	17125	0.72	0.67	0.58	0.71	0.77	0.78	0.56
KN807086.1	17175	0.90	0.91	0.69	0.95	0.89	0.94	0.86
KN807090.1	13925	0.65	0.50	1.00	0.84	0.98	0.88	1.00
KN807090.1	13944	0.62	0.73	1.00	0.84	1.00	0.88	0.64
KN807090.1	13957	0.54	0.93	1.00	0.84	0.95	0.94	0.69
KN807090.1	13964	0.58	0.87	1.00	0.72	0.98	0.94	0.93
KN807101.1	2746	0.88	0.96	0.92	1.00	0.67	0.96	1.00
KN807102.1	20793	0.63	0.48	0.67	0.70	0.49	0.56	0.78
KN807102.1	20835	0.87	0.93	0.97	0.94	0.87	0.90	0.91
KN807102.1	20843	0.87	0.73	0.88	0.75	0.81	0.88	0.79
KN807113.1	2256	0.86	1.00	0.60	0.84	0.54	0.72	0.46
KN807113.1	2434	0.46	0.50	1.00	0.79	0.94	0.34	0.91
KN807120.1	12630	0.30	0.45	0.52	0.38	0.41	0.29	0.41
KN807120.1	12634	0.33	0.45	0.61	0.44	0.41	0.32	0.46
KN807138.1	5728	0.76	0.70	0.80	0.44	0.78	0.82	0.57
KN807142.1	13023	0.68	0.79	0.53	0.73	0.54	0.68	0.68
KN807157.1	3566	0.93	0.18	1.00	1.00	0.95	0.45	0.96
KN807169.1	3002	0.72	1.00	0.62	0.25	0.21	0.16	0.62
KN807175.1	11127	0.96	0.76	0.55	0.72	0.72	0.32	0.96
KN807177.1	10751	0.35	1.00	1.00	1.00	0.97	0.98	0.54
KN807188.1	5207	0.93	0.82	0.88	0.79	0.44	0.95	0.96
KN807188.1	5215	0.91	0.91	0.75	0.83	0.89	0.83	0.91
KN807228.1	17196	0.91	0.77	0.57	0.65	0.95	0.97	0.71
KN807228.1	17228	0.99	0.79	0.79	0.89	0.98	0.91	0.87
KN807228.1	17230	0.99	0.95	0.91	0.72	0.98	0.91	0.96
KN807228.1	17235	0.90	0.79	0.74	0.67	0.98	0.88	0.87
KN807245.1	22446	0.41	0.97	0.30	0.23	0.39	0.57	0.47
KN807249.1	11354	0.26	1.00	1.00	0.10	0.93	0.63	0.71
KN807249.1	11382	0.69	0.94	1.00	1.00	0.93	0.25	0.88
KN807264.1	8206	0.96	0.89	1.00	0.89	0.99	0.94	0.88
KN807264.1	8214	0.96	1.00	0.94	1.00	0.96	0.96	1.00
KN807268.1	19487	0.62	0.63	0.42	0.30	0.39	0.61	0.56
KN807270.1	19853	0.71	0.61	0.88	0.90	0.69	0.75	0.76
KN807290.1	7512	0.86	0.55	0.75	0.67	0.93	0.60	0.90
KN807297.1	18230	0.82	1.00	0.67	0.86	0.29	1.00	0.97
KN807319.1	19088	0.31	0.87	0.91	0.56	0.16	0.19	0.67
KN807334.1	3246418	0.63	0.42	0.24	0.65	0.54	0.49	0.61
KN807334.1	3246442	0.74	0.64	0.52	0.74	0.85	0.89	0.75
KN807335.1	364027	0.75	0.78	1.00	1.00	0.99	0.97	0.98
KN807335.1	3434183	0.97	0.93	1.00	0.90	0.62	0.35	0.83
KN807366.1	11076	0.74	0.60	0.82	0.75	0.72	0.60	0.67
KN807380.1	8835	0.58	0.65	0.85	0.46	0.85	0.51	0.73
KN807380.1	8885	0.90	0.62	0.88	0.83	0.79	0.90	0.78
KN807380.1	8917	0.85	0.62	1.00	1.00	0.75	0.90	0.96
KN807380.1	8919	0.92	0.81	1.00	0.83	0.83	1.00	0.92
KN807380.1	8924	0.92	0.69	0.82	1.00	0.74	0.90	0.92
KN807380.1	8930	0.98	0.86	1.00	0.80	0.74	0.91	0.91
KN807381.1	9930	1.00	0.14	0.40	1.00	0.64	0.93	0.96
KN807442.1	18692	0.96	0.96	0.98	0.59	0.83	0.76	0.95
KN807471.1	13756	0.89	0.60	0.47	0.60	0.60	0.31	0.98
KN807510.1	13734	0.62	1.00	0.98	0.10	1.00	0.92	0.96
KN807510.1	13736	0.62	1.00	1.00	1.00	1.00	0.92	0.94
KN807522.1	10188	0.41	0.39	0.13	0.95	1.00	0.71	0.97
KN807536.1	18749	0.62	0.67	0.74	0.47	0.59	0.63	0.66
KN807558.1	9181	0.90	1.00	0.85	0.88	0.91	0.81	0.71
KN807584.1	18574	0.95	0.86	1.00	0.86	0.85	0.81	0.92
KN807584.1	18577	0.89	0.86	0.70	0.89	0.85	0.93	0.81
KN807584.1	18590	0.95	1.00	1.00	0.86	0.85	0.86	0.81
KN807584.1	18612	0.78	1.00	0.90	0.71	0.75	0.78	0.91
KN807584.1	19109	0.76	0.87	0.87	0.98	0.66	0.77	0.74
KN807584.1	19116	0.88	0.89	0.92	0.93	0.87	0.89	0.90
KN807584.1	19255	0.65	0.47	0.80	0.74	0.79	0.71	0.50
KN807584.1	19497	0.81	0.93	0.84	0.69	0.83	0.82	0.86
KN807584.1	19529	0.89	0.89	0.82	0.64	0.87	0.87	0.90
KN807584.1	19531	0.90	0.93	0.72	0.79	0.84	0.87	0.97
KN807584.1	19536	0.89	0.88	0.91	0.72	0.98	0.81	0.87
KN807595.1	13142	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN807617.1	7626	0.81	1.00	1.00	0.94	0.52	0.77	0.68
KN807636.1	19323	0.81	0.68	0.44	0.31	0.31	0.84	0.94
KN807640.1	17151	0.20	0.10	0.82	0.40	0.26	0.35	0.29
KN807640.1	17698	0.77	0.18	0.10	0.80	0.90	0.85	0.21
KN807725.1	4620	0.91	0.60	0.50	0.71	0.65	0.33	0.98
KN807767.1	6770	0.60	0.50	0.58	0.70	0.56	0.33	0.61
KN807768.1	9519	0.77	1.00	0.71	0.83	0.64	0.93	0.66
KN807768.1	9532	0.78	0.81	1.00	0.75	0.65	0.86	0.64
KN807774.1	23070	0.82	1.00	1.00	0.75	0.82	0.88	0.68
KN807866.1	1307	0.44	0.73	0.72	0.20	0.24	0.76	0.80
KN807900.1	54278	0.38	0.56	0.63	0.20	0.18	0.18	0.92
KN807925.1	4568	0.90	1.00	1.00	0.77	0.39	0.93	0.91
KN807925.1	4577	0.83	0.86	0.97	0.62	0.87	0.73	0.85
KN807945.1	13099	0.66	0.81	0.51	0.42	0.74	0.66	0.78
KN807945.1	13109	0.74	0.88	0.72	0.50	0.76	0.74	0.77
KN807999.1	12746	0.89	0.86	0.94	0.86	0.95	0.77	0.70
KN807999.1	12752	0.91	0.76	0.94	0.89	0.97	0.84	0.97
KN808067.1	11415	0.65	0.70	1.00	0.87	0.27	0.48	0.86
KN808067.1	15633	0.49	0.70	1.00	0.87	0.27	0.48	0.86
KN808078.1	13089	0.48	0.56	0.59	0.98	0.55	0.91	1.00
KN808136.1	3001	0.95	0.93	0.86	0.92	0.90	0.93	0.89
KN808136.1	3009	0.89	1.00	0.94	0.77	0.92	0.90	0.97
KN808192.1	2344	0.90	0.99	1.00	0.99	1.00	0.98	0.97
KN808199.1	6578	0.33	0.71	0.37	0.68	0.21	0.37	0.78
KN808211.1	3157	0.95	0.84	0.81	0.91	0.56	0.93	0.91
KN808211.1	3162	0.95	0.84	0.88	1.00	0.71	0.93	0.98
KN808211.1	3164	0.93	0.96	0.75	0.83	0.76	0.84	0.93
KN808211.1	3196	0.85	0.71	0.76	0.92	0.67	0.88	0.82
KN808211.1	3247	0.73	0.61	0.88	0.95	0.68	0.74	0.72
KN808211.1	12835	0.66	0.25	1.00	1.00	1.00	0.39	0.97
KN808213.1	12511	0.96	1.00	0.85	1.00	0.98	0.96	0.96
KN808213.1	12515	0.91	1.00	0.95	1.00	0.92	0.99	0.92
KN808222.1	3802	0.86	0.60	0.59	0.74	0.69	0.33	0.96
KN808291.1	16	0.66	0.60	0.73	0.91	0.80	0.74	0.93
KN808291.1	48	0.95	0.95	0.87	0.80	0.96	0.76	0.90
KN808291.1	50	0.88	0.80	0.87	1.00	0.93	0.81	0.97
KN808291.1	55	0.90	0.90	0.93	0.80	0.91	0.85	0.88
KN808291.1	61	0.97	0.98	0.94	0.90	0.93	0.82	0.90
KN808334.1	1659	0.39	1.00	1.00	0.97	1.00	0.72	1.00
KN808360.1	5670	0.87	1.00	1.00	0.94	1.00	1.00	0.92
KN808360.1	5686	0.83	1.00	0.95	0.84	0.98	0.99	0.94
KN808363.1	8456	0.98	0.64	0.94	0.96	0.96	0.97	0.13
KN808410.1	6004	0.90	0.95	0.73	0.70	0.80	0.71	0.93
KN808410.1	6036	0.81	0.67	0.83	1.00	0.55	0.94	0.95
KN808427.1	1310	0.93	0.84	0.86	0.87	0.76	0.90	0.82
KN808427.1	1317	0.72	0.82	0.79	0.72	0.60	0.78	0.84
KN808427.1	1336	0.21	0.12	0.23	0.15	0.14	0.20	0.23
KN808462.1	750	0.98	1.00	1.00	0.20	1.00	0.73	1.00
KN808472.1	9354	1.00	0.70	0.94	0.59	0.98	0.98	1.00
KN808499.1	5425	0.88	0.95	0.77	0.93	0.86	0.84	0.78
KN808528.1	4456	0.64	0.54	1.00	0.67	0.82	0.86	0.76
KN808649.1	9468	0.98	1.00	1.00	1.00	0.96	1.00	0.98
KN808657.1	9377	0.82	0.50	0.91	0.68	0.62	0.44	0.87
KN808681.1	9910	0.86	0.60	0.93	0.93	0.36	0.90	0.92
KN808681.1	9918	0.91	0.93	0.97	0.86	0.90	0.96	0.88
KN808735.1	6780	0.89	0.60	0.47	0.60	0.61	0.31	0.98
KN808737.1	5383	0.97	0.16	0.58	0.30	0.57	0.31	0.65
KN808764.1	7649	0.75	0.90	0.87	0.17	0.68	0.88	0.94
KN808770.1	11851	0.96	0.22	0.85	0.51	0.19	0.38	0.66
KN808839.1	10116	0.67	0.50	0.58	0.60	0.60	0.72	0.91
KN808866.1	11242	0.53	0.78	1.00	1.00	0.98	0.96	0.98
KN808893.1	8217	0.76	0.98	1.00	0.97	1.00	0.90	0.94
KN808893.1	8221	0.81	1.00	1.00	0.97	1.00	0.84	0.94
KN808893.1	8227	0.95	1.00	1.00	0.97	0.96	0.90	0.94
KN808893.1	8232	0.95	1.00	0.90	1.00	1.00	0.94	0.91
KN808893.1	8250	0.75	1.00	1.00	1.00	0.74	0.69	0.94
KN808956.1	9791	0.70	0.18	0.10	0.30	0.89	0.83	0.21
KN808958.1	4752	0.81	0.71	0.30	0.94	0.18	0.38	0.22
KN808958.1	4869	0.69	0.21	0.88	0.94	0.69	0.96	0.78
KN808958.1	4901	0.92	0.93	0.73	0.33	0.82	0.62	0.83
KN808958.1	4903	0.96	0.28	0.87	1.00	0.64	0.65	0.88
KN808958.1	4908	0.96	0.34	0.80	0.97	0.55	0.98	0.92
KN808991.1	712	1.00	1.00	1.00	1.00	1.00	0.93	1.00
KN808991.1	716	1.00	1.00	1.00	0.73	1.00	0.96	1.00
KN809003.1	3036	0.51	0.75	0.21	0.93	0.12	0.36	0.97
KN809025.1	6663	0.86	0.88	0.87	0.93	0.88	0.66	0.85
KN809129.1	2780	0.96	0.89	0.59	0.65	0.72	0.32	0.98
KN809135.1	6127	0.97	0.81	0.98	0.46	0.92	0.98	0.94
KN809150.1	1485	0.70	0.88	0.79	0.98	1.00	0.95	0.93
KN809150.1	1488	0.92	0.95	1.00	0.67	1.00	0.93	0.87
KN809150.1	1501	0.96	1.00	1.00	0.66	0.29	0.96	0.88
KN809179.1	9071	0.98	0.12	1.00	1.00	0.75	0.97	0.79
KN809225.1	9142	1.00	1.00	0.76	0.88	0.98	0.83	0.99
KN809291.1	8503	0.95	0.90	0.69	0.69	0.60	0.85	0.73
KN809296.1	1623	0.93	0.76	1.00	0.73	0.78	0.97	0.78
KN809317.1	7554	0.73	0.68	0.75	0.23	0.65	0.70	0.93
KN809338.1	5033	0.93	0.90	1.00	0.44	0.56	0.95	0.41
KN809340.1	826	0.86	0.82	0.69	0.75	0.74	0.97	0.86
KN809392.1	2702	0.20	0.10	0.82	0.40	0.26	0.35	0.30
KN809646.1	3663	0.81	0.82	1.00	0.43	0.95	0.93	0.97
KN809646.1	3670	0.76	0.82	1.00	0.90	0.56	0.93	0.90
KN809646.1	3683	0.81	0.76	1.00	0.50	0.98	0.87	0.88
KN809646.1	3702	0.77	0.59	1.00	0.50	0.98	0.87	0.97
KN809687.1	42	0.71	0.85	0.72	0.50	0.78	0.74	0.50
KN809687.1	52	0.64	0.83	0.52	0.57	0.73	0.65	0.47
KN809711.1	5912	0.65	0.57	1.00	0.88	0.97	0.80	0.76
KN809711.1	5931	0.62	0.79	1.00	0.84	1.00	0.88	0.62
KN809711.1	5944	0.54	0.93	1.00	0.88	0.92	0.94	0.69
KN809711.1	5951	0.58	0.93	1.00	0.72	0.97	0.94	0.92
KN809872.1	2743	1.00	0.96	1.00	0.93	0.64	0.91	0.86
KN809872.1	2748	1.00	0.99	1.00	1.00	0.77	0.93	0.94
KN809872.1	2750	0.41	0.96	0.45	1.00	0.62	0.90	0.13
KN809941.1	1607	0.64	0.67	0.74	0.47	0.59	0.65	0.65
KN809944.1	670	0.94	0.97	1.00	1.00	0.95	0.64	0.97
KN809944.1	676	0.77	1.00	1.00	0.95	0.96	0.78	0.96
KN809944.1	703	0.94	1.00	0.40	1.00	0.96	1.00	1.00
KN810020.1	4919	0.50	0.18	0.97	0.15	0.38	0.35	0.41
KN810067.1	7650	1.00	1.00	1.00	1.00	0.95	1.00	1.00
KN810067.1	7654	1.00	1.00	1.00	0.70	0.58	1.00	0.87
KN810067.1	7660	1.00	1.00	1.00	1.00	0.97	1.00	0.98
KN810067.1	7676	1.00	0.92	0.81	0.89	0.58	0.94	0.78
KN810067.1	7680	1.00	1.00	1.00	1.00	0.98	1.00	0.98
KN810067.1	7684	1.00	1.00	1.00	0.97	0.58	0.98	0.83
KN810067.1	7690	1.00	1.00	1.00	0.93	0.97	1.00	1.00
KN810126.1	810	0.96	0.40	0.18	1.00	0.14	0.10	0.60
KN810306.1	2961	0.62	0.80	0.83	0.17	0.63	0.71	0.92
KN810318.1	1953	0.98	0.97	0.53	1.00	0.91	0.90	0.84
KN810318.1	1979	0.97	1.00	0.56	1.00	0.82	0.95	0.91
KN810318.1	1985	0.98	1.00	0.61	1.00	1.00	1.00	0.93
KN810318.1	1992	0.98	1.00	0.72	1.00	0.82	1.00	1.00
KN810318.1	1997	0.98	1.00	0.61	1.00	1.00	1.00	1.00
KN810330.1	533	0.51	1.00	0.96	1.00	1.00	0.49	1.00
KN810347.1	4132	0.84	0.81	0.73	0.65	0.69	0.69	0.60
KN810385.1	2414	0.94	0.42	1.00	0.11	0.55	0.56	0.76
KN810514.1	3374	1.00	0.71	0.36	0.88	0.52	0.93	0.91
KN810514.1	3390	1.00	0.94	1.00	0.88	1.00	1.00	1.00
KN810514.1	3396	1.00	1.00	1.00	0.81	1.00	1.00	0.89
KN810514.1	3400	1.00	1.00	1.00	1.00	1.00	0.97	1.00
KN810514.1	3404	1.00	0.82	0.82	1.00	0.59	0.90	0.75
KN810521.1	1941	0.88	0.40	0.88	0.89	0.69	0.90	0.91
KN810521.1	2014	0.93	0.88	0.93	0.59	0.97	0.96	1.00
KN810521.1	2046	0.90	0.78	0.92	0.47	0.95	0.60	0.76
KN810521.1	2048	0.90	0.88	0.79	0.59	0.86	0.91	0.94
KN810521.1	2053	0.95	0.84	0.53	0.41	0.89	0.89	0.86
KN810521.1	2059	0.93	0.92	0.87	0.47	0.86	0.72	0.86
KN810658.1	3703	0.86	1.00	0.93	0.47	0.95	0.62	0.60
KN810834.1	2850	0.74	0.38	1.00	0.12	0.68	0.36	0.57
KN811283.1	462304	0.89	1.00	0.36	0.21	0.82	0.59	0.92
KN811283.1	657745	0.94	0.83	0.96	0.89	0.90	0.93	0.96
KN811283.1	657757	0.87	0.67	0.79	0.80	1.00	0.76	0.80
KN811283.1	2222356	0.88	0.91	0.87	0.94	0.87	0.70	0.86
KN811283.1	2222369	0.74	0.92	1.00	0.89	0.87	0.70	0.82
KN811284.1	370408	0.96	0.99	0.90	0.70	0.81	0.69	0.65
KN811284.1	370434	0.50	0.62	0.80	0.34	0.86	0.89	0.99
KN811284.1	612195	0.54	0.37	0.79	0.82	0.90	0.52	0.41
KN811284.1	612200	0.57	0.27	0.79	0.64	0.90	0.40	0.44
KN811284.1	612202	0.48	0.43	0.74	0.73	0.86	0.44	0.52
KN811284.1	1968283	0.85	0.25	0.23	0.97	0.78	0.98	1.00
KN811284.1	2131404	0.91	0.23	1.00	0.98	0.88	0.32	0.89
KN811285.1	1347357	0.66	0.29	0.35	0.36	0.66	0.31	0.67
KN811285.1	1347398	0.63	0.92	0.92	0.27	0.49	0.31	0.87
KN811285.1	1397968	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811285.1	2353020	0.56	0.56	0.48	0.46	0.70	0.50	0.82
KN811285.1	2353072	0.48	0.19	0.69	0.54	0.81	0.44	0.35
KN811285.1	2478283	0.86	0.74	0.74	0.74	0.77	0.68	0.70
KN811285.1	2967154	0.47	1.00	0.87	1.00	1.00	1.00	1.00
KN811285.1	2967170	0.49	0.91	0.85	1.00	0.97	0.96	0.86
KN811285.1	2967222	1.00	1.00	0.77	0.17	0.97	1.00	0.89
KN811285.1	2967243	0.96	0.95	0.61	1.00	0.97	0.96	0.32
