chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN807334.1	675134	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.01	0.00
KN807334.1	675138	0.12	0.00	0.05	0.00	0.00	0.00	0.34	0.01	0.28	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.19	0.00	0.01	0.00
KN807334.1	675169	0.18	1.00	0.09	0.06	0.00	0.00	0.32	0.01	0.21	0.00	0.00	0.25	0.17	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.13	0.00
KN807334.1	1083624	0.21	0.00	0.10	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	1132013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	1197132	0.05	0.04	0.09	0.00	0.03	0.00	0.01	0.01	0.00	0.00	0.09	0.02	0.17	0.02	0.13	0.12	0.00	0.00	0.14	0.02	0.02	0.00
KN807334.1	1197148	0.28	0.00	0.06	0.00	0.01	0.00	0.07	0.00	0.08	0.01	0.02	0.01	0.10	0.14	0.01	0.00	0.00	0.00	0.05	0.00	0.00	0.00
KN807334.1	1197149	0.01	0.00	0.00	0.01	0.49	0.00	0.01	0.08	0.11	0.05	0.06	0.22	0.06	0.03	0.17	0.09	0.06	0.02	0.16	0.10	0.04	0.00
KN807334.1	1255531	0.13	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.03	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.37	0.01	0.00
KN807334.1	1255851	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN807334.1	1255892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	1255894	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN807334.1	1256296	0.04	0.00	0.00	0.01	0.00	0.09	0.00	0.02	0.00	0.02	0.00	0.00	0.05	0.01	0.00	0.00	0.00	0.03	0.05	0.01	0.00	0.00
KN807334.1	1256297	0.20	0.06	0.00	0.00	0.12	0.00	0.20	0.13	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.25	0.00
KN807334.1	1414698	0.73	0.95	0.72	0.73	0.83	1.00	0.60	0.81	0.72	0.80	0.88	0.66	0.80	0.99	0.66	0.89	0.65	1.00	0.91	1.00	0.89	1.00
KN807334.1	1414715	0.88	0.89	0.81	0.80	0.66	1.00	0.89	0.56	0.78	0.92	0.82	0.71	0.78	0.93	0.76	0.65	0.65	0.78	0.91	1.00	0.80	0.27
KN807334.1	1786743	0.13	0.26	0.17	0.19	0.20	0.09	0.41	0.24	0.28	0.24	0.13	0.22	0.26	0.27	0.19	0.49	0.05	0.08	0.30	0.19	0.12	0.00
KN807334.1	2417787	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	2417793	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	2417805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	2417811	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00
KN807334.1	2417837	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN807334.1	2417860	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.15	0.00
KN807334.1	2517060	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN807334.1	2597542	0.06	0.04	0.04	0.03	0.05	0.04	0.04	0.05	0.08	0.44	0.01	0.57	0.20	0.02	0.04	0.16	0.01	0.04	0.31	0.00	0.24	0.05
KN807334.1	3246418	0.63	0.56	0.41	0.42	0.62	0.24	0.65	0.54	0.49	0.61	0.59	0.64	0.67	0.67	0.46	0.63	0.46	0.32	0.32	0.61	0.44	0.99
KN807334.1	3246442	0.74	0.85	0.77	0.64	0.80	0.52	0.74	0.85	0.89	0.75	0.89	0.72	0.80	0.79	0.89	0.95	0.81	0.95	0.92	0.94	0.82	0.99
KN807335.1	364043	1.00	1.00	0.78	0.72	0.93	1.00	0.81	0.99	0.40	0.86	0.98	0.80	0.96	1.00	0.97	1.00	1.00	0.98	0.69	0.76	0.88	1.00
KN807335.1	435268	0.58	0.59	0.54	0.51	0.51	0.90	0.35	0.36	0.53	0.56	0.66	0.66	0.67	0.55	0.56	0.52	0.76	0.75	0.57	0.29	0.52	0.56
KN807335.1	972277	0.27	1.00	0.45	0.00	0.20	0.89	0.00	0.58	0.35	0.55	0.63	0.35	0.52	0.39	0.53	0.00	0.00	0.00	0.06	0.06	0.44	0.00
KN807335.1	972393	0.72	1.00	0.44	0.00	0.00	0.00	0.00	0.43	0.34	0.57	0.77	0.53	1.00	0.00	1.00	1.00	1.00	0.00	0.88	1.00	0.38	0.00
KN807335.1	1213806	0.08	0.01	0.01	0.01	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11	0.00	0.00	0.00	0.00	0.00	0.24	0.57	0.00	0.96
KN807335.1	1424288	0.00	0.00	0.00	0.01	0.21	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.07	0.14	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00
KN807335.1	1424373	0.00	0.00	0.00	0.01	0.01	0.00	0.13	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.18	0.05	0.00
KN807335.1	1670627	0.00	0.00	0.00	0.00	0.00	0.50	0.50	0.00	0.00	0.00	0.17	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
KN807335.1	1762091	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.01	0.00	0.00	0.15	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807335.1	1762104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN807335.1	1762122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807335.1	1762125	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.21	0.01	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00
KN807335.1	1899495	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.02	0.05	0.00	0.00	0.02	0.04	0.00	0.00	0.00	0.00	0.00
KN807335.1	2125378	0.98	0.99	0.86	0.50	0.86	1.00	0.90	0.98	0.99	0.92	0.99	0.99	0.90	0.98	0.97	1.00	1.00	1.00	0.90	0.97	0.94	0.99
KN807335.1	2125383	0.99	0.86	1.00	1.00	0.86	0.76	1.00	0.78	1.00	1.00	1.00	0.87	1.00	1.00	0.99	0.99	0.00	1.00	0.81	1.00	0.95	1.00
KN807335.1	2125387	0.99	1.00	1.00	1.00	1.00	1.00	1.00	0.90	1.00	1.00	0.81	1.00	0.91	0.38	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00
KN807335.1	2125389	0.99	1.00	1.00	1.00	1.00	0.76	1.00	0.81	1.00	1.00	1.00	0.80	1.00	0.76	0.83	1.00	1.00	1.00	0.90	1.00	1.00	1.00
KN807335.1	2237656	0.07	0.74	0.12	0.21	0.41	0.56	0.52	0.81	0.24	0.41	0.35	0.40	0.49	0.34	0.38	0.06	0.02	0.02	0.15	0.31	0.41	1.00
KN807335.1	2446340	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.23	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.14	0.00
KN807335.1	2446379	0.00	0.00	0.00	0.21	0.00	1.00	0.00	0.29	0.00	0.24	0.00	0.16	0.12	0.36	0.29	0.09	0.00	0.00	0.18	0.16	0.00	0.00
KN807335.1	2446380	0.01	0.00	0.00	0.01	0.23	0.00	0.00	0.10	0.06	0.00	0.00	0.22	0.14	0.00	0.23	0.01	0.00	0.00	0.18	0.00	0.00	0.00
KN807335.1	2446422	0.24	0.19	0.18	0.01	0.04	0.00	0.20	0.00	0.00	0.00	0.18	0.09	0.12	0.00	0.09	0.00	0.01	0.00	0.00	0.00	0.07	0.00
KN807335.1	2446423	0.00	0.00	0.00	0.14	0.06	0.00	0.00	0.25	0.00	0.00	0.10	0.00	0.08	0.21	0.07	0.26	0.00	0.00	0.05	0.00	0.00	0.00
KN807335.1	2446425	0.00	0.01	0.17	0.09	0.06	0.00	0.01	0.30	0.01	0.25	0.16	0.08	0.12	0.16	0.33	0.00	0.99	0.01	0.00	0.00	0.00	0.01
KN807335.1	2446426	0.09	0.14	0.28	0.00	0.00	1.00	0.00	0.13	0.00	0.00	0.10	0.10	0.09	0.00	0.12	0.21	0.00	0.25	0.06	0.00	0.03	0.00
KN807335.1	2446431	0.12	0.01	0.00	0.26	0.04	1.00	0.00	0.00	0.00	0.00	0.01	0.09	0.12	0.33	0.12	0.00	0.00	0.00	0.35	0.32	0.00	0.00
KN807335.1	2446432	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.13	0.01	0.02	0.21	0.30	0.31	0.00	0.19	0.29	0.00	0.26	0.13	0.00	0.00	0.00
KN807335.1	2446434	0.37	0.34	0.32	0.01	0.00	0.00	0.40	0.41	0.36	0.45	0.00	0.08	0.20	0.11	0.31	0.00	0.00	0.00	0.14	0.00	0.28	0.90
KN807335.1	2446435	0.07	0.25	0.00	0.01	0.10	1.00	0.00	0.22	0.00	0.00	0.35	0.40	0.17	0.17	0.07	0.01	0.00	0.25	0.18	0.00	0.05	0.00
KN807335.1	2527027	0.33	0.00	0.33	0.19	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.07	0.00	0.61	0.00
KN807335.1	2527039	0.00	0.00	0.53	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807335.1	3025217	0.20	0.40	0.68	0.10	0.06	0.82	0.40	0.18	0.53	0.30	0.05	0.11	0.57	0.12	0.03	0.10	0.00	0.08	0.19	0.17	0.42	0.33
KN807335.1	3297526	0.36	0.36	0.47	0.09	0.48	0.19	0.43	0.12	0.21	0.20	0.44	0.36	0.18	0.24	0.46	0.11	0.15	0.26	0.12	0.19	0.47	0.24
KN807335.1	3433940	0.14	0.38	0.34	0.19	0.19	0.03	0.19	0.04	0.35	0.56	0.37	0.38	0.34	0.13	0.51	0.31	0.75	0.63	0.13	0.05	0.40	0.00
KN807337.1	16389	0.11	0.04	0.05	0.01	0.29	0.61	0.00	0.03	0.24	0.23	0.07	0.01	0.12	0.12	0.05	0.02	0.02	0.00	0.02	0.01	0.12	0.00
KN807337.1	16399	0.02	0.00	0.00	0.01	0.14	0.00	0.00	0.00	0.11	0.00	0.01	0.13	0.01	0.06	0.01	0.00	0.00	0.00	0.11	0.00	0.01	0.00
KN807338.1	18824	0.79	0.90	0.72	0.63	0.72	0.30	0.60	0.79	0.48	0.88	0.84	0.83	0.62	0.87	0.86	0.83	0.53	0.81	0.70	0.41	0.82	0.04
KN807341.1	8508	0.00	0.00	0.00	0.28	0.00	0.07	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
KN807349.1	5704	0.87	0.88	0.84	0.91	0.89	0.87	0.86	0.82	0.90	0.84	0.90	0.92	0.91	0.88	0.89	0.88	0.80	0.88	0.85	0.81	0.87	0.80
KN807349.1	5724	0.90	0.91	0.94	0.97	0.90	0.90	0.75	0.88	0.87	0.83	0.91	0.94	0.92	0.83	0.92	0.87	0.78	0.92	0.86	0.83	0.86	0.69
KN807349.1	5792	0.24	0.13	0.14	0.66	0.25	0.14	0.32	0.54	0.03	0.37	0.35	0.11	0.30	0.38	0.13	0.00	0.82	0.07	0.02	0.00	0.21	0.01
KN807349.1	5799	0.38	0.58	0.11	0.08	0.14	0.05	0.30	0.30	0.24	0.00	0.36	0.09	0.04	0.10	0.11	0.00	0.01	0.07	0.02	0.00	0.17	0.01
KN807359.1	4844	0.60	0.62	0.98	0.04	0.51	1.00	0.52	0.31	0.62	0.36	1.00	0.91	0.91	0.70	0.69	0.11	1.00	0.99	0.57	1.00	0.46	0.00
KN807359.1	4852	0.31	0.14	0.02	0.00	0.10	0.00	0.00	0.19	0.28	0.18	0.12	0.07	0.00	0.09	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.07
KN807359.1	4865	0.77	0.66	0.71	0.04	0.62	1.00	1.00	0.62	0.90	0.36	0.97	0.97	1.00	0.58	0.70	1.00	1.00	1.00	1.00	0.00	0.46	1.00
KN807359.1	4869	0.79	0.66	0.72	0.04	0.63	1.00	1.00	0.73	0.92	0.36	1.00	1.00	1.00	0.61	0.99	1.00	0.00	1.00	1.00	0.00	0.38	1.00
KN807366.1	11076	0.74	0.55	0.65	0.60	0.62	0.82	0.75	0.72	0.60	0.67	0.61	0.52	0.73	0.68	0.75	0.61	0.48	0.60	0.65	0.76	0.56	0.57
KN807367.1	8278	0.16	0.40	0.02	0.65	0.25	0.26	0.11	0.08	0.16	0.31	0.06	0.08	0.07	0.02	0.04	0.13	0.00	0.00	0.10	0.01	0.09	0.00
KN807381.1	9324	0.57	0.47	0.59	0.37	0.61	0.16	0.68	0.53	0.49	0.72	0.65	0.60	0.64	0.71	0.43	0.64	0.19	0.44	0.46	0.40	0.50	0.99
KN807381.1	9348	0.76	0.84	0.77	0.87	0.74	0.19	0.71	0.79	0.61	0.72	0.70	0.80	0.65	0.77	0.80	0.91	0.85	0.79	0.82	0.93	0.82	0.99
KN807383.1	13349	0.17	0.00	0.10	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.59	0.00	0.00
KN807383.1	13360	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
KN807383.1	13362	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.18	0.13	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807383.1	13369	0.17	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807383.1	13407	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.35	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807383.1	13412	0.00	0.00	0.03	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807383.1	13421	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807388.1	11047	0.98	0.85	0.95	0.93	0.93	1.00	0.98	0.70	0.98	1.00	0.90	0.98	0.92	0.94	0.72	0.98	0.58	1.00	0.61	0.98	0.95	0.73
KN807388.1	11073	0.94	0.98	0.88	0.92	0.90	0.71	0.95	1.00	0.99	0.73	0.89	0.94	0.92	1.00	0.91	0.92	1.00	0.79	0.94	0.82	0.98	0.78
KN807388.1	11078	0.99	0.97	0.88	1.00	0.93	1.00	0.95	0.91	0.99	0.93	0.84	1.00	0.89	0.96	0.97	0.94	1.00	1.00	0.86	0.93	0.98	1.00
KN807394.1	2759	0.05	0.12	0.01	0.10	0.03	0.27	0.02	0.00	0.00	0.22	0.18	0.06	0.04	0.02	0.25	0.01	0.00	0.00	0.03	0.00	0.04	0.00
KN807394.1	2774	0.04	0.54	0.00	0.06	0.03	0.00	0.03	0.00	0.12	0.22	0.13	0.03	0.03	0.08	0.36	0.02	0.00	0.00	0.01	0.00	0.04	0.00
KN807394.1	3253	0.06	0.35	0.01	0.08	0.00	0.00	0.00	0.08	0.00	0.01	0.01	0.07	0.02	0.00	0.01	0.05	0.00	0.00	0.00	0.12	0.05	0.00
KN807394.1	3402	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.06	0.02	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00
KN807394.1	3411	0.00	0.03	0.09	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.28	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807396.1	11051	0.06	0.12	0.08	0.10	0.04	0.04	0.07	0.05	0.05	0.03	0.08	0.04	0.08	0.13	0.09	0.03	0.03	0.01	0.03	0.03	0.02	0.02
KN807408.1	6007	0.67	0.92	0.92	0.45	0.86	0.90	0.68	0.90	0.28	0.70	0.89	0.89	0.91	0.61	0.77	0.93	0.90	0.95	0.64	0.38	0.86	1.00
KN807408.1	6093	0.90	0.93	0.84	0.88	0.84	0.68	0.89	0.87	0.93	0.69	0.90	0.86	0.83	0.95	0.90	0.90	0.59	0.94	0.76	0.83	0.88	0.00
KN807413.1	51	0.07	0.19	0.14	0.15	0.10	0.16	0.18	0.15	0.28	0.18	0.06	0.08	0.08	0.15	0.09	0.23	0.04	0.06	0.11	0.04	0.07	0.00
KN807423.1	1671	0.90	0.88	0.91	1.00	0.99	1.00	0.98	0.68	0.90	0.98	0.91	0.91	0.88	0.99	0.75	0.77	0.00	1.00	0.59	0.99	0.86	0.02
KN807423.1	1720	0.88	0.79	0.91	0.48	0.61	0.39	0.10	0.76	0.79	0.70	0.67	0.90	0.84	0.66	0.92	0.24	1.00	0.17	0.71	0.98	0.76	0.55
KN807429.1	7971	0.74	1.00	0.50	0.78	0.26	0.00	0.95	0.81	0.98	1.00	0.83	0.94	0.67	1.00	0.92	1.00	0.00	0.99	0.68	0.92	0.66	0.92
KN807430.1	2870	0.95	0.93	0.89	0.80	0.90	0.88	0.79	0.87	0.96	0.92	0.92	0.93	0.87	0.94	0.94	0.93	0.82	0.91	0.92	0.80	0.90	0.80
KN807430.1	2878	0.92	0.91	0.89	0.87	0.95	0.95	0.87	0.89	0.92	0.91	0.93	0.94	0.94	0.96	0.97	0.98	0.86	0.93	0.93	0.71	0.93	0.94
KN807430.1	2920	0.90	0.93	0.87	0.84	0.94	0.87	0.91	0.75	0.91	0.88	0.93	0.94	0.90	0.94	0.95	0.86	0.79	0.95	0.89	0.87	0.93	0.79
KN807430.1	2927	0.81	0.82	0.80	0.75	0.87	0.82	0.83	0.70	0.77	0.85	0.89	0.87	0.86	0.87	0.85	0.88	0.79	0.89	0.74	0.75	0.82	0.69
KN807430.1	2931	0.03	0.07	0.14	0.03	0.07	0.09	0.00	0.10	0.06	0.07	0.03	0.04	0.02	0.01	0.06	0.00	0.09	0.05	0.02	0.07	0.06	0.00
KN807432.1	3330	0.14	0.00	0.00	0.02	0.07	0.02	0.04	0.08	0.07	0.00	0.67	0.08	0.00	0.37	0.00	0.05	0.02	0.05	0.00	0.00	0.00	0.00
KN807432.1	3378	0.03	0.28	0.18	0.01	0.01	0.00	0.03	0.00	0.00	0.00	0.01	0.30	0.01	0.17	0.41	0.04	0.01	0.00	0.03	0.00	0.14	0.00
KN807442.1	18693	0.95	0.92	0.86	0.57	0.88	0.77	0.94	0.93	0.93	0.93	0.90	0.89	0.98	0.88	0.95	0.96	0.94	0.99	0.92	0.85	0.92	0.94
KN807442.1	18700	0.99	0.97	0.98	0.96	0.98	0.76	0.69	0.90	0.92	0.99	0.91	0.99	0.98	0.97	0.98	0.80	0.99	1.00	1.00	0.98	0.98	0.03
KN807442.1	18701	0.83	0.94	0.98	0.98	0.94	0.98	0.96	0.93	1.00	0.81	0.67	0.93	0.97	0.94	0.92	0.98	1.00	0.90	0.92	0.60	0.94	0.82
KN807466.1	1381	0.15	0.09	0.01	0.03	0.00	0.03	0.05	0.43	0.08	0.03	0.03	0.27	0.01	0.00	0.02	0.03	0.00	0.00	0.08	0.33	0.00	0.00
KN807466.1	45209	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.08	0.00	0.14	0.04	0.00	0.00	0.00	0.00	0.00	0.00
KN807466.1	45231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN807466.1	45293	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN807471.1	18328	0.23	0.08	0.00	0.00	0.22	0.45	0.56	0.05	0.01	0.04	0.10	0.01	0.13	0.07	0.01	0.00	0.01	0.00	0.05	0.00	0.01	0.00
KN807471.1	18341	0.00	0.07	0.00	0.00	0.19	0.00	0.16	0.02	0.00	0.00	0.04	0.01	0.12	0.02	0.01	0.00	0.01	0.00	0.03	0.00	0.04	0.00
KN807471.1	18356	0.00	0.07	0.10	0.00	0.19	0.00	0.00	0.06	0.01	0.00	0.10	0.00	0.14	0.00	0.02	0.00	0.01	0.00	0.07	0.00	0.01	0.00
KN807471.1	18362	0.00	0.07	0.01	0.00	0.04	0.00	0.00	0.02	0.00	0.00	0.09	0.00	0.20	0.00	0.01	0.00	0.00	0.00	0.07	0.00	0.01	0.00
KN807514.1	15529	0.14	0.07	0.01	0.01	0.20	0.00	0.00	0.02	0.01	0.01	0.01	0.03	0.08	0.00	0.17	0.02	0.12	0.01	0.01	0.17	0.01	0.80
KN807525.1	14238	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.07	0.14	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00
KN807525.1	14253	0.10	0.14	0.00	0.00	0.14	0.00	0.17	0.00	0.00	0.01	0.11	0.07	0.31	0.12	0.03	0.29	0.00	0.00	0.10	0.09	0.04	0.00
KN807525.1	14261	0.05	0.14	0.12	0.00	0.14	0.00	0.17	0.00	0.00	0.01	0.11	0.19	0.00	0.00	0.05	0.00	0.00	0.03	0.00	0.00	0.04	0.00
KN807525.1	14320	0.00	0.21	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.17	0.02	0.00	0.00	0.08	0.00	0.06	0.00	0.00	0.00	0.00	0.06	0.00
KN807530.1	11	0.34	0.64	0.18	0.01	0.02	0.02	0.04	0.01	0.03	0.19	0.43	0.06	0.27	0.12	0.06	0.05	0.00	0.00	0.17	0.08	0.25	0.00
KN807533.1	13536	0.60	0.62	0.98	0.04	0.50	1.00	0.52	0.33	0.21	0.36	1.00	0.91	0.91	0.70	0.83	0.11	1.00	0.99	0.57	1.00	0.46	0.00
KN807533.1	13544	0.31	0.14	0.02	0.00	0.10	0.00	0.00	0.19	0.58	0.18	0.17	0.07	0.00	0.09	0.05	0.00	0.00	0.00	0.00	0.00	0.00	1.00
KN807533.1	13557	0.77	0.66	0.71	0.04	0.63	1.00	1.00	0.63	0.79	0.36	0.96	0.97	1.00	0.58	0.98	1.00	1.00	1.00	1.00	0.00	0.46	1.00
KN807533.1	13561	0.79	0.66	0.72	0.04	0.63	1.00	1.00	0.74	0.72	0.36	1.00	1.00	1.00	0.61	0.98	1.00	0.00	1.00	1.00	0.00	0.38	1.00
KN807533.1	13566	0.55	0.41	0.32	0.04	0.10	1.00	0.00	0.37	0.63	0.18	0.25	0.19	0.09	0.16	0.08	0.06	1.00	0.00	0.05	1.00	0.11	1.00
KN807533.1	20068	0.20	0.22	0.19	0.38	0.18	0.39	0.31	0.64	0.36	0.39	0.21	0.38	0.27	0.44	0.33	0.26	0.40	0.09	0.26	0.29	0.14	1.00
KN807536.1	18749	0.62	0.61	0.78	0.67	0.64	0.74	0.47	0.59	0.63	0.66	0.82	0.72	0.73	0.80	0.85	0.60	0.35	0.77	0.61	0.83	0.65	0.78
KN807536.1	18781	0.79	0.84	0.69	0.68	0.84	0.89	0.77	0.71	0.78	0.83	0.85	0.74	0.78	0.83	0.89	0.79	0.41	0.91	0.81	0.73	0.81	0.67
KN807544.1	15135	0.31	0.80	0.06	0.26	0.70	0.53	0.03	0.02	0.14	0.32	0.14	0.14	0.03	0.02	0.38	0.01	0.00	0.10	0.38	0.07	0.14	0.00
KN807544.1	15157	0.33	0.98	0.23	0.28	0.76	0.53	0.00	0.03	0.15	0.29	0.14	0.13	0.03	0.38	0.54	0.02	0.00	0.10	0.25	0.09	0.34	0.00
KN807544.1	15162	0.29	0.94	0.46	0.26	0.76	0.53	0.02	0.03	0.15	0.29	0.11	0.14	0.03	0.17	0.16	0.25	0.00	0.00	0.24	0.07	0.16	0.00
KN807556.1	13137	0.93	0.96	0.98	0.78	0.86	0.94	0.49	0.93	0.92	0.67	0.76	0.97	0.86	0.89	0.93	0.99	0.97	0.89	0.80	0.98	0.92	0.82
KN807556.1	13154	0.95	0.58	0.60	0.77	0.60	0.91	0.49	0.66	0.86	0.27	0.39	0.91	0.68	0.93	0.98	0.46	0.98	0.85	0.69	0.61	0.66	0.78
KN807558.1	9181	0.90	0.95	1.00	1.00	0.79	0.85	0.88	0.91	0.81	0.71	0.88	0.31	0.79	0.62	0.38	0.95	0.75	1.00	0.54	0.40	0.97	1.00
KN807566.1	3399	0.85	0.87	0.72	0.44	0.89	0.80	0.45	0.87	0.73	0.76	0.83	0.79	0.60	0.77	0.86	0.71	0.04	0.65	0.89	0.59	0.63	0.19
KN807567.1	11144	0.05	0.08	0.28	0.03	0.05	0.04	0.05	0.02	0.04	0.00	0.02	0.14	0.24	0.04	0.06	0.03	0.67	0.00	0.01	0.03	0.12	0.00
KN807571.1	6773	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00
