chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN807945.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807945.1:1:15120:1 REF	13109	0.74	0.88	0.72	0.50	0.76	0.74	0.77
KN807999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807999.1:1:15249:1 REF	12746	0.89	0.86	0.94	0.86	0.95	0.77	0.70
KN807999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807999.1:1:15249:1 REF	12752	0.91	0.76	0.94	0.89	0.97	0.84	0.97
KN808067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808067.1:1:16883:1 REF	11415	0.65	0.70	1.00	0.87	0.27	0.48	0.86
KN808067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808067.1:1:16883:1 REF	15633	0.49	0.70	1.00	0.87	0.27	0.48	0.86
KN808078.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808078.1:1:16897:1 REF	13089	0.48	0.56	0.59	0.98	0.55	0.91	1.00
KN808136.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808136.1:1:13606:1 REF	3001	0.95	0.93	0.86	0.92	0.90	0.93	0.89
KN808136.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808136.1:1:13606:1 REF	3009	0.89	1.00	0.94	0.77	0.92	0.90	0.97
KN808192.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808192.1:1:12663:1 REF	2344	0.90	0.99	1.00	0.99	1.00	0.98	0.97
KN808199.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808199.1:1:12566:1 REF	6578	0.33	0.71	0.37	0.68	0.21	0.37	0.78
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3157	0.95	0.84	0.81	0.91	0.56	0.93	0.91
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3162	0.95	0.84	0.88	1.00	0.71	0.93	0.98
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3164	0.93	0.96	0.75	0.83	0.76	0.84	0.93
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3196	0.85	0.71	0.76	0.92	0.67	0.88	0.82
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3247	0.73	0.61	0.88	0.95	0.68	0.74	0.72
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	12835	0.66	0.25	1.00	1.00	1.00	0.39	0.97
KN808213.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808213.1:1:12824:1 REF	12511	0.96	1.00	0.85	1.00	0.98	0.96	0.96
KN808213.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808213.1:1:12824:1 REF	12515	0.91	1.00	0.95	1.00	0.92	0.99	0.92
KN808222.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808222.1:1:13553:1 REF	3802	0.86	0.60	0.59	0.74	0.69	0.33	0.96
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	16	0.66	0.60	0.73	0.91	0.80	0.74	0.93
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	48	0.95	0.95	0.87	0.80	0.96	0.76	0.90
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	50	0.88	0.80	0.87	1.00	0.93	0.81	0.97
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	55	0.90	0.90	0.93	0.80	0.91	0.85	0.88
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	61	0.97	0.98	0.94	0.90	0.93	0.82	0.90
KN808334.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808334.1:1:14912:1 REF	1659	0.39	1.00	1.00	0.97	1.00	0.72	1.00
KN808360.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808360.1:1:14603:1 REF	5670	0.87	1.00	1.00	0.94	1.00	1.00	0.92
KN808360.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808360.1:1:14603:1 REF	5686	0.83	1.00	0.95	0.84	0.98	0.99	0.94
KN808363.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808363.1:1:11680:1 REF	8456	0.98	0.64	0.94	0.96	0.96	0.97	0.13
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6004	0.90	0.95	0.73	0.70	0.80	0.71	0.93
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6036	0.81	0.67	0.83	1.00	0.55	0.94	0.95
KN808427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808427.1:1:11319:1 REF	1310	0.93	0.84	0.86	0.87	0.76	0.90	0.82
KN808427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808427.1:1:11319:1 REF	1317	0.72	0.82	0.79	0.72	0.60	0.78	0.84
KN808427.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808427.1:1:11319:1 REF	1336	0.21	0.12	0.23	0.15	0.14	0.20	0.23
KN808462.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808462.1:1:11051:1 REF	750	0.98	1.00	1.00	0.20	1.00	0.73	1.00
KN808472.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808472.1:1:10886:1 REF	9354	1.00	0.70	0.94	0.59	0.98	0.98	1.00
KN808499.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808499.1:1:14246:1 REF	5425	0.88	0.95	0.77	0.93	0.86	0.84	0.78
KN808528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808528.1:1:15034:1 REF	4456	0.64	0.54	1.00	0.67	0.82	0.86	0.76
KN808649.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808649.1:1:11308:1 REF	9468	0.98	1.00	1.00	1.00	0.96	1.00	0.98
KN808657.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808657.1:1:10067:1 REF	9377	0.82	0.50	0.91	0.68	0.62	0.44	0.87
KN808681.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808681.1:1:10052:1 REF	9910	0.86	0.60	0.93	0.93	0.36	0.90	0.92
KN808681.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808681.1:1:10052:1 REF	9918	0.91	0.93	0.97	0.86	0.90	0.96	0.88
KN808735.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808735.1:1:9735:1 REF	6780	0.89	0.60	0.47	0.60	0.61	0.31	0.98
KN808737.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808737.1:1:9617:1 REF	5383	0.97	0.16	0.58	0.30	0.57	0.31	0.65
KN808764.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808764.1:1:9688:1 REF	7649	0.75	0.90	0.87	0.17	0.68	0.88	0.94
KN808770.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808770.1:1:12633:1 REF	11851	0.96	0.22	0.85	0.51	0.19	0.38	0.66
KN808839.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808839.1:1:11302:1 REF	10116	0.67	0.50	0.58	0.60	0.60	0.72	0.91
KN808866.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808866.1:1:14036:1 REF	11242	0.53	0.78	1.00	1.00	0.98	0.96	0.98
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8217	0.76	0.98	1.00	0.97	1.00	0.90	0.94
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8221	0.81	1.00	1.00	0.97	1.00	0.84	0.94
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8227	0.95	1.00	1.00	0.97	0.96	0.90	0.94
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8232	0.95	1.00	0.90	1.00	1.00	0.94	0.91
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8250	0.75	1.00	1.00	1.00	0.74	0.69	0.94
KN808956.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808956.1:1:10770:1 REF	9791	0.70	0.18	0.10	0.30	0.89	0.83	0.21
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4752	0.81	0.71	0.30	0.94	0.18	0.38	0.22
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4869	0.69	0.21	0.88	0.94	0.69	0.96	0.78
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4901	0.92	0.93	0.73	0.33	0.82	0.62	0.83
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4903	0.96	0.28	0.87	1.00	0.64	0.65	0.88
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4908	0.96	0.34	0.80	0.97	0.55	0.98	0.92
KN808991.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808991.1:1:9456:1 REF	712	1.00	1.00	1.00	1.00	1.00	0.93	1.00
KN808991.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808991.1:1:9456:1 REF	716	1.00	1.00	1.00	0.73	1.00	0.96	1.00
KN809003.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809003.1:1:8922:1 REF	3036	0.51	0.75	0.21	0.93	0.12	0.36	0.97
KN809025.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809025.1:1:8556:1 REF	6663	0.86	0.88	0.87	0.93	0.88	0.66	0.85
KN809129.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809129.1:1:9157:1 REF	2780	0.96	0.89	0.59	0.65	0.72	0.32	0.98
KN809135.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809135.1:1:8060:1 REF	6127	0.97	0.81	0.98	0.46	0.92	0.98	0.94
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1485	0.70	0.88	0.79	0.98	1.00	0.95	0.93
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1488	0.92	0.95	1.00	0.67	1.00	0.93	0.87
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1501	0.96	1.00	1.00	0.66	0.29	0.96	0.88
KN809179.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809179.1:1:9258:1 REF	9071	0.98	0.12	1.00	1.00	0.75	0.97	0.79
KN809225.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809225.1:1:9808:1 REF	9142	1.00	1.00	0.76	0.88	0.98	0.83	0.99
KN809291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809291.1:1:8562:1 REF	8503	0.95	0.90	0.69	0.69	0.60	0.85	0.73
KN809296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809296.1:1:10416:1 REF	1623	0.93	0.76	1.00	0.73	0.78	0.97	0.78
KN809317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809317.1:1:7841:1 REF	7554	0.73	0.68	0.75	0.23	0.65	0.70	0.93
KN809338.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809338.1:1:7202:1 REF	5033	0.93	0.90	1.00	0.44	0.56	0.95	0.41
KN809340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809340.1:1:9561:1 REF	826	0.86	0.82	0.69	0.75	0.74	0.97	0.86
KN809392.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809392.1:1:7034:1 REF	2702	0.20	0.10	0.82	0.40	0.26	0.35	0.30
KN809646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809646.1:1:6159:1 REF	3663	0.81	0.82	1.00	0.43	0.95	0.93	0.97
KN809646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809646.1:1:6159:1 REF	3670	0.76	0.82	1.00	0.90	0.56	0.93	0.90
KN809646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809646.1:1:6159:1 REF	3683	0.81	0.76	1.00	0.50	0.98	0.87	0.88
KN809646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809646.1:1:6159:1 REF	3702	0.77	0.59	1.00	0.50	0.98	0.87	0.97
KN809687.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809687.1:1:6294:1 REF	42	0.71	0.85	0.72	0.50	0.78	0.74	0.50
KN809687.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809687.1:1:6294:1 REF	52	0.64	0.83	0.52	0.57	0.73	0.65	0.47
KN809711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809711.1:1:6029:1 REF	5912	0.65	0.57	1.00	0.88	0.97	0.80	0.76
KN809711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809711.1:1:6029:1 REF	5931	0.62	0.79	1.00	0.84	1.00	0.88	0.62
KN809711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809711.1:1:6029:1 REF	5944	0.54	0.93	1.00	0.88	0.92	0.94	0.69
KN809711.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809711.1:1:6029:1 REF	5951	0.58	0.93	1.00	0.72	0.97	0.94	0.92
KN809872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809872.1:1:5525:1 REF	2743	1.00	0.96	1.00	0.93	0.64	0.91	0.86
KN809872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809872.1:1:5525:1 REF	2748	1.00	0.99	1.00	1.00	0.77	0.93	0.94
KN809872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809872.1:1:5525:1 REF	2750	0.41	0.96	0.45	1.00	0.62	0.90	0.13
KN809941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809941.1:1:7889:1 REF	1607	0.64	0.67	0.74	0.47	0.59	0.65	0.65
KN809944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809944.1:1:5246:1 REF	670	0.94	0.97	1.00	1.00	0.95	0.64	0.97
KN809944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809944.1:1:5246:1 REF	676	0.77	1.00	1.00	0.95	0.96	0.78	0.96
KN809944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809944.1:1:5246:1 REF	703	0.94	1.00	0.40	1.00	0.96	1.00	1.00
KN810020.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810020.1:1:5175:1 REF	4919	0.50	0.18	0.97	0.15	0.38	0.35	0.41
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7650	1.00	1.00	1.00	1.00	0.95	1.00	1.00
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7654	1.00	1.00	1.00	0.70	0.58	1.00	0.87
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7660	1.00	1.00	1.00	1.00	0.97	1.00	0.98
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7676	1.00	0.92	0.81	0.89	0.58	0.94	0.78
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7680	1.00	1.00	1.00	1.00	0.98	1.00	0.98
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7684	1.00	1.00	1.00	0.97	0.58	0.98	0.83
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7690	1.00	1.00	1.00	0.93	0.97	1.00	1.00
KN810126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810126.1:1:4985:1 REF	810	0.96	0.40	0.18	1.00	0.14	0.10	0.60
KN810306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810306.1:1:5358:1 REF	2961	0.62	0.80	0.83	0.17	0.63	0.71	0.92
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1953	0.98	0.97	0.53	1.00	0.91	0.90	0.84
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1979	0.97	1.00	0.56	1.00	0.82	0.95	0.91
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1985	0.98	1.00	0.61	1.00	1.00	1.00	0.93
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1992	0.98	1.00	0.72	1.00	0.82	1.00	1.00
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1997	0.98	1.00	0.61	1.00	1.00	1.00	1.00
KN810330.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810330.1:1:5956:1 REF	533	0.51	1.00	0.96	1.00	1.00	0.49	1.00
KN810347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810347.1:1:4356:1 REF	4132	0.84	0.81	0.73	0.65	0.69	0.69	0.60
KN810385.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810385.1:1:4153:1 REF	2414	0.94	0.42	1.00	0.11	0.55	0.56	0.76
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3374	1.00	0.71	0.36	0.88	0.52	0.93	0.91
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3390	1.00	0.94	1.00	0.88	1.00	1.00	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3396	1.00	1.00	1.00	0.81	1.00	1.00	0.89
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3400	1.00	1.00	1.00	1.00	1.00	0.97	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3404	1.00	0.82	0.82	1.00	0.59	0.90	0.75
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	1941	0.88	0.40	0.88	0.89	0.69	0.90	0.91
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	2014	0.93	0.88	0.93	0.59	0.97	0.96	1.00
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	2046	0.90	0.78	0.92	0.47	0.95	0.60	0.76
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	2048	0.90	0.88	0.79	0.59	0.86	0.91	0.94
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	2053	0.95	0.84	0.53	0.41	0.89	0.89	0.86
KN810521.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810521.1:1:3839:1 REF	2059	0.93	0.92	0.87	0.47	0.86	0.72	0.86
KN810658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810658.1:1:4795:1 REF	3703	0.86	1.00	0.93	0.47	0.95	0.62	0.60
KN810834.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810834.1:1:3131:1 REF	2850	0.74	0.38	1.00	0.12	0.68	0.36	0.57
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	462304	0.89	1.00	0.36	0.21	0.82	0.59	0.92
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	657745	0.94	0.83	0.96	0.89	0.90	0.93	0.96
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	657757	0.87	0.67	0.79	0.80	1.00	0.76	0.80
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222356	0.88	0.91	0.87	0.94	0.87	0.70	0.86
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222369	0.74	0.92	1.00	0.89	0.87	0.70	0.82
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	370408	0.96	0.99	0.90	0.70	0.81	0.69	0.65
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	370434	0.50	0.62	0.80	0.34	0.86	0.89	0.99
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612195	0.54	0.37	0.79	0.82	0.90	0.52	0.41
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612200	0.57	0.27	0.79	0.64	0.90	0.40	0.44
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612202	0.48	0.43	0.74	0.73	0.86	0.44	0.52
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	1968283	0.85	0.25	0.23	0.97	0.78	0.98	1.00
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	2131404	0.91	0.23	1.00	0.98	0.88	0.32	0.89
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	1347357	0.66	0.29	0.35	0.36	0.66	0.31	0.67
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	1347398	0.63	0.92	0.92	0.27	0.49	0.31	0.87
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	1397968	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353020	0.56	0.56	0.48	0.46	0.70	0.50	0.82
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353072	0.48	0.19	0.69	0.54	0.81	0.44	0.35
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2478283	0.86	0.74	0.74	0.74	0.77	0.68	0.70
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967154	0.47	1.00	0.87	1.00	1.00	1.00	1.00
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967170	0.49	0.91	0.85	1.00	0.97	0.96	0.86
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967222	1.00	1.00	0.77	0.17	0.97	1.00	0.89
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967243	0.96	0.95	0.61	1.00	0.97	0.96	0.32
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	3115119	0.90	0.95	0.83	0.92	0.93	0.85	0.82
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	3115139	1.00	1.00	0.92	0.92	0.81	0.93	0.90
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	1137373	0.49	0.73	1.00	0.90	0.81	0.85	0.41
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172262	0.85	0.75	1.00	0.70	0.50	1.00	0.89
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172268	0.93	0.83	0.94	0.90	0.57	1.00	0.82
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172273	0.90	0.67	0.94	0.90	0.57	0.97	0.79
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172275	0.85	0.83	0.94	0.90	0.53	0.97	0.89
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172307	0.38	0.53	0.87	0.38	0.35	0.77	0.76
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	1545277	0.87	0.91	0.83	0.79	0.83	0.78	0.92
