chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
KN811350.1	1284749	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1284781	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1284801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1284805	0.00	0.01	0.00	0.00	0.00	0.00	0.21	0.00
KN811350.1	1284812	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1284823	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1359603	0.61	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN811350.1	1359616	1.00	0.00	1.00	1.00	1.00	1.00	0.71	1.00
KN811350.1	1359686	0.49	0.52	0.56	0.32	0.35	0.30	0.45	0.42
KN811350.1	1369754	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1369756	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
KN811350.1	1369799	0.00	0.10	0.00	0.00	0.00	0.00	0.01	0.00
KN811350.1	1369814	0.07	0.00	0.02	0.00	0.00	0.00	0.04	0.01
KN811350.1	1369815	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811350.1	1392209	0.00	0.00	0.01	0.11	0.00	0.00	0.00	0.00
KN811350.1	1392281	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
KN811350.1	1403560	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1403567	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1403570	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1403580	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1403583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1474946	0.02	0.40	0.00	0.00	0.13	0.00	0.00	0.00
KN811350.1	1474959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1474982	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475016	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475019	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00
KN811350.1	1475051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1475117	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811350.1	1517547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1517557	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1517566	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518304	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00
KN811350.1	1518312	0.00	0.10	0.00	0.00	0.24	0.00	0.02	0.00
KN811350.1	1518321	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518326	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00
KN811350.1	1518337	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518358	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518361	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518386	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518512	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518552	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518553	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518571	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518590	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
KN811350.1	1518592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1602769	0.00	0.00	0.07	0.00	0.00	0.00	0.10	0.97
KN811350.1	1602821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1602874	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603055	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603057	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603075	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603087	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811350.1	1603103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1603122	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.01
KN811350.1	1603172	0.53	0.01	0.00	0.00	0.13	0.00	0.03	0.00
KN811350.1	1646018	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
KN811350.1	1646019	0.00	0.02	0.04	0.00	0.00	0.02	0.00	0.00
KN811350.1	1646041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1646081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1679279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1703818	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.00
KN811350.1	1703819	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
KN811350.1	1703830	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00
KN811350.1	1703846	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00
KN811350.1	1703861	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1703862	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1703951	0.00	0.00	0.01	0.00	0.19	0.00	0.01	0.00
KN811350.1	1703957	0.00	0.00	0.00	0.00	0.23	0.00	0.04	0.00
KN811350.1	1703970	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1703978	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1703996	0.00	0.12	0.00	0.95	0.00	0.00	0.00	0.07
KN811350.1	1725869	0.00	0.00	0.04	0.00	0.00	0.06	0.00	0.00
KN811350.1	1784071	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811350.1	1784087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1784101	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
KN811350.1	1784390	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1784419	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1784427	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811350.1	1784432	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41
KN811350.1	1785485	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN811350.1	1785492	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1785495	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1785509	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00
KN811350.1	1785629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1844818	0.00	0.00	0.05	0.00	0.00	0.11	0.00	0.00
KN811350.1	1868441	0.69	0.54	0.75	0.02	0.52	0.72	0.43	0.00
KN811350.1	1868461	0.00	0.54	0.00	0.00	0.00	0.34	0.34	0.00
KN811350.1	1868523	0.00	0.00	0.00	0.00	0.36	0.01	0.02	0.01
KN811350.1	1868665	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868667	0.02	0.07	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868710	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868733	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1868905	0.13	0.11	0.00	0.00	0.00	0.00	0.01	0.00
KN811350.1	1892332	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1892358	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.98
KN811350.1	1892365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1892371	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1892398	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1892410	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.01
KN811350.1	1892442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	1999707	0.19	0.70	0.00	0.80	0.58	0.00	0.41	0.00
KN811350.1	1999751	0.89	0.63	0.95	1.00	1.00	1.00	0.86	1.00
KN811350.1	2000169	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811350.1	2000178	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811350.1	2000195	0.00	0.52	0.00	0.00	0.01	0.00	0.03	0.01
KN811350.1	2000215	0.03	0.09	0.03	0.08	0.05	0.00	0.00	0.10
KN811350.1	2056731	0.77	0.57	1.00	1.00	0.82	0.00	0.95	0.01
KN811350.1	2056737	1.00	0.57	1.00	0.00	0.57	0.00	0.74	0.01
KN811351.1	384	0.81	0.82	0.87	0.80	0.92	0.95	0.90	0.67
KN811351.1	388	0.19	0.30	0.25	0.12	0.21	0.29	0.21	0.64
KN811351.1	404	0.53	0.54	0.53	0.81	0.54	0.64	0.68	0.50
KN811351.1	3552	0.83	0.69	0.82	0.27	0.86	0.97	0.71	0.94
KN811351.1	3556	0.77	0.53	0.86	1.00	0.84	1.00	0.82	0.24
KN811351.1	3562	0.96	0.69	0.80	0.91	0.98	0.97	0.97	1.00
KN811351.1	3567	0.74	0.62	0.78	1.00	0.95	0.97	0.78	0.88
KN811351.1	3585	0.97	0.73	0.84	0.90	0.94	0.79	0.94	0.33
KN811351.1	263335	0.00	0.00	0.03	0.00	0.00	0.01	0.00	0.00
KN811351.1	263338	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00
KN811351.1	263345	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	263401	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263419	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263432	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
KN811351.1	263436	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263456	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811351.1	263459	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263461	0.00	0.00	0.15	0.01	0.00	0.00	0.00	0.00
KN811351.1	263468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263477	0.00	0.47	0.01	0.00	0.00	0.00	0.00	0.00
KN811351.1	263482	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00
KN811351.1	263490	0.06	0.00	0.01	0.00	0.00	0.00	0.01	0.00
KN811351.1	263494	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811351.1	263613	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263616	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263634	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	263647	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00
KN811351.1	263649	0.00	0.17	0.18	0.00	0.00	0.00	0.00	0.00
KN811351.1	271330	0.80	0.70	0.82	0.65	0.88	1.00	0.81	0.53
KN811351.1	271347	0.88	0.66	0.83	0.65	0.84	1.00	0.89	1.00
KN811351.1	292042	0.00	0.09	0.06	0.00	0.00	0.00	0.02	0.01
KN811351.1	341452	0.05	0.00	0.15	0.00	0.00	0.00	0.27	0.00
KN811351.1	341463	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811351.1	341485	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811351.1	341494	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	341503	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00
KN811351.1	341506	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	341522	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
KN811351.1	462233	0.14	0.00	0.00	0.00	0.00	0.01	0.21	0.00
KN811351.1	462244	0.06	0.00	0.00	0.00	0.00	0.12	0.00	0.00
KN811351.1	462289	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	462292	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	462466	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.91
KN811351.1	516962	0.24	0.20	0.00	0.00	0.00	1.00	0.00	0.00
KN811351.1	516968	0.00	0.18	0.42	1.00	0.00	1.00	0.00	0.00
KN811351.1	516971	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00
KN811351.1	516974	0.01	0.00	0.36	0.00	0.00	0.04	0.18	0.70
KN811351.1	516986	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	516989	0.01	0.23	0.41	0.00	0.00	0.00	0.00	0.70
KN811351.1	516992	0.00	0.32	0.53	0.00	0.27	0.00	0.00	0.00
KN811351.1	516999	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.70
KN811351.1	517007	0.00	0.18	0.42	0.00	0.26	1.00	0.36	0.70
KN811351.1	517010	0.00	0.11	0.00	0.00	0.11	1.00	0.00	0.00
KN811351.1	536420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	536431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	536438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	536446	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	536449	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	536461	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00
KN811351.1	571777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	571781	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	571820	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811351.1	571832	0.14	0.14	0.00	0.01	0.23	0.00	0.00	0.00
KN811351.1	771999	0.05	0.00	0.04	0.00	0.00	0.00	0.04	0.00
KN811351.1	860544	0.90	0.60	0.28	1.00	0.35	0.92	0.71	0.80
KN811351.1	860556	0.84	0.60	0.24	1.00	0.35	0.52	0.73	0.82
KN811351.1	860561	0.86	0.31	0.66	1.00	0.14	0.52	0.73	0.82
KN811351.1	860573	0.86	0.07	0.65	0.50	0.35	0.52	0.88	0.54
KN811351.1	911129	0.60	0.59	0.76	0.18	0.65	0.61	0.51	0.00
KN811351.1	918952	0.10	0.01	0.00	0.00	0.00	0.00	0.40	0.00
KN811351.1	1265549	0.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1265595	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1265598	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811351.1	1265602	0.11	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN811351.1	1287175	0.02	0.00	0.11	0.07	0.00	0.37	0.24	0.00
KN811351.1	1545822	0.26	0.21	0.00	0.00	0.00	0.09	0.00	0.00
KN811351.1	1545835	0.00	0.00	0.17	0.00	0.00	0.01	0.00	0.00
KN811351.1	1545854	0.00	0.00	0.00	0.00	0.20	0.00	0.01	0.00
KN811351.1	1547694	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	1547699	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1547706	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01
KN811351.1	1547732	0.00	0.16	0.00	0.01	0.00	0.00	0.00	0.00
KN811351.1	1547735	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1547757	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1547763	0.01	0.00	0.00	0.00	0.00	0.00	0.08	0.00
KN811351.1	1567403	0.72	0.97	0.87	1.00	0.92	0.80	0.82	0.10
KN811351.1	1567431	0.74	0.47	0.97	1.00	0.70	1.00	0.78	1.00
KN811351.1	1567432	0.96	0.86	0.91	1.00	0.92	0.77	0.84	0.18
KN811351.1	1567448	0.83	0.73	0.93	1.00	0.68	0.74	0.70	0.18
KN811351.1	1567457	0.57	0.55	0.91	0.71	0.86	0.36	0.73	0.00
KN811351.1	1658719	0.43	0.22	0.58	0.59	0.09	0.14	0.65	0.48
KN811351.1	1658731	0.89	0.60	1.00	1.00	0.08	0.26	0.83	0.80
KN811351.1	1658736	0.64	0.77	0.85	1.00	0.12	0.27	0.83	0.80
KN811351.1	1658748	0.72	0.77	0.88	1.00	0.12	0.45	0.83	0.78
KN811351.1	1659377	0.90	0.60	0.28	1.00	0.34	0.43	0.72	0.80
KN811351.1	1659389	0.84	0.60	0.24	1.00	0.34	0.24	0.74	0.82
KN811351.1	1659394	0.86	0.31	0.66	1.00	0.12	0.24	0.74	0.82
KN811351.1	1659406	0.38	0.06	0.49	0.50	0.16	0.15	0.52	0.51
KN811351.1	1659779	0.65	0.31	0.86	0.59	0.12	0.18	0.77	0.51
KN811351.1	1659791	0.89	0.60	1.00	1.00	0.08	0.26	0.83	0.80
KN811351.1	1659796	0.65	0.77	0.85	1.00	0.12	0.27	0.83	0.80
KN811351.1	1659808	0.72	0.77	0.88	1.00	0.12	0.45	0.83	0.78
KN811351.1	1664516	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1664605	0.00	0.00	0.00	0.00	0.07	0.01	0.00	0.00
KN811351.1	1664608	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
KN811351.1	1664622	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00
KN811351.1	1728616	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00
KN811351.1	1781345	0.30	0.00	0.00	0.00	0.16	0.00	0.00	0.00
KN811351.1	1781398	0.00	0.19	0.00	0.00	0.01	0.01	0.00	0.00
KN811351.1	1781434	0.00	0.00	0.00	0.00	0.24	0.00	0.02	0.00
KN811351.1	1781437	0.11	0.00	0.08	0.00	0.00	0.14	0.00	0.00
KN811351.1	1781452	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1781454	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1781464	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	1781468	0.11	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811351.1	1781470	0.19	0.00	0.07	0.00	0.00	0.14	0.00	0.00
KN811351.1	1781477	0.00	0.00	0.00	0.00	0.19	0.00	0.21	0.00
KN811351.1	1977887	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	2084573	0.00	0.00	0.07	0.00	0.05	0.00	0.00	0.00
KN811351.1	2124769	0.99	1.00	1.00	1.00	0.82	1.00	0.60	1.00
KN811351.1	2124774	0.99	0.88	1.00	0.99	1.00	1.00	0.79	1.00
KN811351.1	2124780	0.99	0.90	1.00	1.00	1.00	1.00	0.62	1.00
KN811351.1	2124786	1.00	0.91	1.00	1.00	0.80	0.00	0.62	1.00
KN811351.1	2124791	1.00	0.70	1.00	1.00	0.93	1.00	0.65	1.00
KN811351.1	2124958	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	2124962	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00
KN811351.1	2124975	0.68	1.00	1.00	0.00	1.00	1.00	1.00	1.00
KN811351.1	2124989	0.67	0.66	1.00	1.00	0.98	1.00	1.00	1.00
KN811351.1	2124993	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00
KN811351.1	2125001	0.98	0.65	1.00	1.00	1.00	1.00	0.97	1.00
KN811351.1	2125204	0.42	0.18	0.30	0.00	0.25	0.37	0.30	0.00
KN811351.1	2129201	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	2129207	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	2129209	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	2129212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	2145437	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
KN811351.1	2145454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	2145470	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
KN811351.1	2145479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN811351.1	2145587	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811351.1	2145608	0.08	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN811351.1	2145615	0.07	0.06	0.00	0.00	0.00	0.01	0.09	0.00
KN811352.1	9001	0.11	0.00	0.07	0.00	0.00	0.50	0.13	0.00
KN811352.1	9063	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	9209	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.67
KN811352.1	27046	0.00	0.03	0.02	0.00	0.15	0.00	0.00	0.00
KN811352.1	27269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	27287	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00
KN811352.1	27289	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	51913	0.64	0.36	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	51930	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	73979	0.35	0.00	0.21	0.00	0.32	0.00	0.42	1.00
KN811352.1	73988	0.34	0.00	0.14	1.00	0.20	0.28	0.49	1.00
KN811352.1	74007	0.35	0.00	0.17	0.00	0.20	0.01	0.40	0.00
KN811352.1	120618	0.90	0.66	0.94	0.61	0.61	0.21	0.81	0.26
KN811352.1	120619	0.97	0.97	0.90	1.00	0.49	0.96	0.87	0.83
KN811352.1	200193	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	200198	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	200302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	200311	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	200321	0.00	0.00	0.01	1.00	0.00	0.01	0.00	0.00
KN811352.1	202483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	202488	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	202592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	202601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	202611	0.00	0.00	0.01	1.00	0.00	0.01	0.00	0.00
KN811352.1	237317	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00
KN811352.1	237556	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
KN811352.1	237575	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811352.1	237580	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN811352.1	272938	0.95	0.97	0.90	0.95	0.62	0.35	0.93	0.00
KN811352.1	285111	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
KN811352.1	285123	0.00	0.00	0.00	0.00	0.00	0.14	0.09	0.00
KN811352.1	285134	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	285149	0.00	0.00	0.00	0.00	0.00	0.22	0.07	0.00
KN811352.1	328859	1.00	1.00	1.00	1.00	0.73	1.00	0.63	0.00
KN811352.1	433813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	433851	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	433871	0.00	0.04	0.01	0.00	0.00	0.00	0.01	0.00
KN811352.1	433939	0.00	0.14	0.10	0.00	0.00	0.00	0.00	0.00
KN811352.1	523755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	523762	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00
KN811352.1	523871	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	523890	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546800	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546809	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00
KN811352.1	546812	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546832	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.99
KN811352.1	546849	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546873	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	546884	0.09	0.11	0.00	0.51	0.11	0.00	0.00	0.00
KN811352.1	553106	0.24	0.29	0.24	0.11	0.19	0.21	0.21	0.00
KN811352.1	553136	0.13	0.28	0.35	0.11	0.24	0.20	0.34	0.00
KN811352.1	553151	0.31	0.30	0.35	0.00	0.30	0.20	0.33	0.17
KN811352.1	560786	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	560804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	561009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	689194	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	689256	0.01	0.00	0.00	0.00	0.18	0.00	0.00	0.00
KN811352.1	689266	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00
KN811352.1	689289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	689299	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	1063505	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	1063513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN811352.1	1063523	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00
KN811352.1	1063824	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN811352.1	1063866	0.01	0.00	0.00	0.00	0.05	0.01	0.04	0.01
