chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN806169.1	15731	0.82	0.20	0.72	0.36	0.58	0.84
KN806169.1	173374	0.45	0.45	0.30	0.88	0.59	0.60
KN806175.1	46929	0.99	0.94	0.91	1.00	0.76	0.53
KN806179.1	88691	0.32	0.11	0.54	0.50	0.27	0.50
KN806179.1	88703	0.18	0.16	0.16	0.55	0.40	0.39
KN806184.1	22509	0.98	0.12	1.00	0.90	0.52	0.92
KN806184.1	81239	0.89	0.38	1.00	0.75	0.89	0.63
KN806184.1	94810	0.91	0.50	0.76	0.26	0.76	0.17
KN806184.1	94853	0.81	0.36	0.39	0.75	0.57	0.16
KN806188.1	132409	0.97	1.00	1.00	0.92	0.83	0.94
KN806188.1	132414	0.93	0.88	1.00	0.85	0.92	0.91
KN806188.1	132416	0.90	0.88	0.95	0.69	0.89	0.78
KN806189.1	3168	0.13	0.11	0.53	0.85	0.65	0.64
KN806189.1	34070	0.13	0.11	0.53	0.85	0.65	0.61
KN806189.1	39195	0.53	0.12	0.53	0.25	0.19	0.27
KN806193.1	3587	0.32	1.00	1.00	1.00	0.65	0.93
KN806194.1	3315	1.00	1.00	1.00	0.54	0.92	1.00
KN806194.1	3323	1.00	1.00	1.00	1.00	0.96	1.00
KN806197.1	88948	0.85	0.75	0.93	0.55	0.95	0.96
KN806201.1	72506	0.52	0.48	0.25	0.79	0.32	0.45
KN806201.1	72508	0.13	0.12	0.25	0.33	0.19	0.47
KN806204.1	12004	0.35	0.50	0.52	0.59	0.56	0.37
KN806208.1	129860	0.85	0.40	0.25	0.34	0.13	0.68
KN806209.1	136488	0.73	0.73	1.00	1.00	0.82	0.75
KN806209.1	136563	0.62	0.54	1.00	0.56	0.56	0.80
KN806214.1	126896	0.89	0.50	0.47	0.81	0.71	0.87
KN806223.1	137691	0.78	1.00	1.00	0.96	0.88	0.95
KN806223.1	137702	0.91	1.00	1.00	0.91	0.58	0.53
KN806225.1	47181	1.00	1.00	0.80	1.00	1.00	0.84
KN806225.1	47194	0.95	1.00	0.80	1.00	1.00	0.73
KN806226.1	9615	0.89	1.00	0.29	0.92	0.88	0.98
KN806226.1	9664	0.86	0.79	0.59	0.93	0.95	0.84
KN806226.1	70603	0.94	0.18	0.14	0.56	0.36	0.28
KN806228.1	16894	0.94	0.22	1.00	0.97	0.63	0.88
KN806234.1	13614	0.89	0.60	0.47	0.56	0.87	0.88
KN806234.1	30859	0.36	0.88	0.99	0.85	0.98	0.78
KN806234.1	107796	0.52	0.50	0.25	0.80	0.42	0.45
KN806234.1	107798	0.13	0.16	0.25	0.37	0.16	0.47
KN806236.1	147603	0.15	0.50	0.27	0.56	0.77	0.92
KN806242.1	22625	1.00	1.00	0.50	0.80	0.50	0.92
KN806244.1	95807	0.61	0.75	0.76	0.67	0.71	0.61
KN806246.1	108481	0.88	0.71	0.47	0.43	0.77	0.85
KN806246.1	108510	0.58	0.23	0.14	0.57	0.34	0.64
KN806248.1	90335	0.54	0.22	0.31	0.65	0.64	0.67
KN806248.1	135985	0.93	1.00	0.30	0.89	0.95	0.95
KN806249.1	35137	0.79	0.77	1.00	0.97	0.94	0.87
KN806249.1	35144	0.77	0.77	1.00	1.00	0.52	0.87
KN806249.1	35150	0.56	0.86	0.33	0.58	0.75	0.85
KN806253.1	81530	0.77	1.00	0.94	0.92	0.96	0.86
KN806253.1	143586	0.44	0.50	0.76	0.42	0.39	0.60
KN806254.1	56366	0.68	0.94	0.80	0.79	0.81	0.74
KN806257.1	41025	0.95	0.88	0.91	0.90	0.82	0.77
KN806257.1	41031	0.95	0.32	0.64	0.80	0.79	0.65
KN806263.1	93920	0.39	0.13	0.92	0.71	0.61	0.35
KN806268.1	11341	0.96	0.65	0.94	0.90	0.89	0.18
KN806268.1	11359	0.95	0.81	0.78	0.76	0.94	0.91
KN806268.1	11371	0.96	0.72	0.94	0.84	0.97	0.91
KN806270.1	113542	0.25	1.00	1.00	1.00	0.58	1.00
KN806279.1	6004	0.94	0.18	0.14	0.57	0.38	0.28
KN806283.1	101472	0.89	1.00	0.95	0.85	0.83	0.88
KN806283.1	101492	0.97	1.00	0.95	0.96	0.83	0.96
KN806288.1	122475	0.96	1.00	0.94	1.00	0.48	1.00
KN806291.1	60	0.92	0.23	1.00	0.79	0.88	0.91
KN806291.1	77	0.76	0.21	0.90	0.29	0.46	0.62
KN806291.1	603	0.74	0.93	1.00	1.00	1.00	1.00
KN806291.1	83692	1.00	1.00	0.10	1.00	1.00	1.00
KN806294.1	100842	0.88	0.67	0.44	0.85	0.68	0.88
KN806300.1	5441	0.51	0.94	0.88	0.92	0.75	0.82
KN806303.1	62284	0.90	1.00	1.00	0.87	0.90	0.89
KN806304.1	153200	0.74	1.00	1.00	0.78	0.94	0.76
KN806310.1	24308	0.55	0.71	0.11	0.97	0.75	0.99
KN806311.1	35443	1.00	1.00	1.00	1.00	1.00	0.91
KN806312.1	69276	1.00	0.95	1.00	0.89	0.75	0.80
KN806314.1	848083	0.15	0.50	0.27	0.56	0.78	0.92
KN806314.1	3239802	0.53	1.00	1.00	0.81	0.91	0.97
KN806316.1	101865	0.16	0.45	0.41	0.48	0.33	0.12
KN806321.1	18415	0.38	1.00	1.00	1.00	0.71	1.00
KN806321.1	18438	0.95	1.00	0.47	0.91	0.73	1.00
KN806328.1	6867	0.87	0.18	0.14	0.56	0.35	0.24
KN806342.1	1830	0.58	1.00	0.73	0.54	0.55	0.29
KN806343.1	110350	0.61	0.59	0.42	0.62	0.60	0.59
KN806345.1	9147	0.33	0.25	0.27	0.16	0.16	0.11
KN806345.1	165016	1.00	0.62	0.75	0.65	0.20	0.67
KN806345.1	165067	0.33	0.96	0.93	0.96	0.97	0.98
KN806345.1	165068	0.71	1.00	1.00	1.00	0.92	0.56
KN806345.1	165087	0.94	0.96	0.80	0.96	0.89	0.96
KN806345.1	165088	0.90	1.00	0.92	0.93	0.96	0.96
KN806345.1	165098	0.68	0.90	0.92	0.93	0.83	0.55
KN806350.1	97491	0.47	0.14	0.10	0.58	0.43	0.90
KN806353.1	152350	0.67	0.13	0.73	0.85	0.86	0.96
KN806353.1	152372	0.80	1.00	0.73	0.95	0.98	0.91
KN806353.1	152376	0.87	1.00	0.64	1.00	0.90	0.13
KN806354.1	90726	0.80	0.33	1.00	1.00	0.76	0.46
KN806363.1	156910	0.58	0.53	0.86	0.64	0.50	0.38
KN806365.1	11550	0.88	0.77	0.68	0.83	0.87	0.80
KN806390.1	30774	0.35	0.41	0.27	0.10	0.57	0.27
KN806394.1	101441	0.85	0.97	0.89	0.98	0.70	1.00
KN806397.1	55461	0.93	0.69	0.60	0.32	0.95	0.93
KN806397.1	55484	0.97	0.92	1.00	0.83	0.85	0.95
KN806397.1	55497	0.97	0.77	1.00	0.83	0.92	0.95
KN806397.1	55500	0.97	0.85	1.00	0.75	0.92	0.94
KN806398.1	83528	0.66	1.00	1.00	0.99	0.97	0.98
KN806400.1	16498	0.83	0.90	0.86	0.95	0.88	0.90
KN806400.1	63339	0.63	0.43	0.85	0.65	0.95	0.45
KN806407.1	97328	0.94	0.89	0.71	0.88	0.82	0.91
KN806407.1	97331	0.94	1.00	0.83	0.98	0.91	0.91
KN806410.1	105433	0.42	1.00	1.00	0.95	0.33	0.19
KN806415.1	129064	0.47	0.82	0.21	0.79	0.69	0.92
KN806415.1	129081	0.49	0.87	0.33	0.83	0.54	0.92
KN806418.1	24736	0.87	0.59	0.53	0.88	0.76	0.78
KN806418.1	24737	0.62	0.38	0.35	0.82	0.64	0.80
KN806419.1	6633	0.51	0.99	1.00	0.15	1.00	0.50
KN806419.1	6665	0.93	0.95	0.96	1.00	1.00	0.58
KN806419.1	6667	0.98	0.95	1.00	1.00	1.00	0.67
KN806419.1	6672	0.96	0.98	1.00	1.00	1.00	0.92
KN806426.1	77921	0.92	0.69	0.82	0.79	0.62	1.00
KN806426.1	77927	0.80	0.93	0.95	0.69	0.68	0.94
KN806426.1	77932	0.83	1.00	0.95	0.94	0.68	0.75
KN806426.1	77934	0.76	1.00	0.86	0.75	0.97	0.88
KN806426.1	77966	0.97	0.45	0.88	0.91	0.34	0.89
KN806429.1	3520	1.00	1.00	1.00	1.00	1.00	1.00
KN806432.1	45697	1.00	1.00	1.00	1.00	1.00	1.00
KN806432.1	45704	0.91	0.96	0.87	0.82	0.88	0.88
KN806433.1	5810	1.00	1.00	1.00	0.29	0.81	0.64
KN806433.1	5813	0.95	1.00	0.58	0.50	0.65	0.82
KN806433.1	5821	0.95	1.00	1.00	0.63	0.88	0.82
KN806436.1	46761	0.22	0.45	0.58	0.94	0.62	0.91
KN806446.1	150709	0.22	1.00	1.00	0.89	0.95	0.85
KN806446.1	150952	0.94	0.98	0.93	1.00	0.91	0.79
KN806446.1	150984	0.77	0.86	1.00	0.88	0.85	0.82
KN806446.1	150986	0.87	0.86	1.00	0.91	0.91	0.88
KN806446.1	150991	0.85	0.84	0.80	0.96	0.89	0.86
KN806446.1	150997	0.86	0.90	0.91	1.00	0.94	0.94
KN806452.1	76319	0.85	0.25	1.00	0.38	0.71	0.84
KN806453.1	45711	0.14	0.15	0.75	0.47	0.43	0.21
KN806456.1	418	0.80	0.94	0.77	0.77	0.69	0.77
KN806457.1	82319	0.88	0.25	1.00	0.39	0.80	0.84
KN806459.1	28444	0.41	0.15	0.12	0.52	0.35	0.48
KN806467.1	82794	0.57	1.00	0.50	0.99	1.00	0.98
KN806483.1	516	0.59	0.27	0.62	0.54	0.42	0.50
KN806494.1	35221	0.94	0.18	0.14	0.57	0.38	0.28
KN806506.1	16698	0.12	0.13	0.38	0.84	0.75	1.00
KN806506.1	26743	0.10	0.13	0.38	0.80	0.48	0.92
KN806516.1	77079	1.00	1.00	1.00	1.00	1.00	1.00
KN806516.1	77083	1.00	0.71	0.64	0.94	0.92	0.65
KN806516.1	77099	1.00	0.94	1.00	0.76	1.00	1.00
KN806516.1	77105	1.00	1.00	1.00	0.82	1.00	1.00
KN806516.1	77109	1.00	1.00	1.00	0.95	1.00	1.00
KN806516.1	77113	1.00	0.75	0.72	0.94	0.92	0.77
KN806516.1	77129	1.00	0.93	1.00	0.71	1.00	1.00
KN806517.1	77262	0.74	1.00	1.00	1.00	0.93	0.87
KN806519.1	21655	0.88	1.00	1.00	0.87	0.90	0.89
KN806520.1	59248	0.65	0.73	1.00	0.52	0.66	0.85
KN806526.1	19439	0.98	0.44	1.00	0.66	0.91	0.97
KN806526.1	19455	1.00	1.00	0.99	0.48	0.91	1.00
KN806526.1	19463	0.90	1.00	0.25	0.20	0.94	0.21
KN806526.1	19468	0.96	0.44	0.99	0.20	0.81	0.88
KN806526.1	19480	0.90	0.44	0.25	0.18	0.32	0.88
KN806526.1	19487	0.98	0.43	1.00	0.50	0.94	0.88
KN806528.1	5171	0.48	0.91	0.97	0.76	0.83	0.67
KN806530.1	2288	0.92	1.00	1.00	0.91	1.00	0.81
KN806530.1	2306	0.95	1.00	1.00	1.00	0.52	0.48
KN806530.1	2318	0.87	1.00	1.00	1.00	1.00	1.00
KN806530.1	6558	0.92	1.00	1.00	0.60	0.94	0.26
KN806530.1	6574	1.00	1.00	1.00	0.97	0.94	0.91
KN806530.1	49176	0.16	0.11	0.17	0.48	0.56	0.25
KN806531.1	23915	0.95	1.00	0.75	0.91	0.95	0.98
KN806531.1	23942	0.89	0.98	0.75	0.91	1.00	0.98
KN806531.1	23950	0.84	0.95	0.83	0.50	0.92	0.81
KN806531.1	24105	0.65	1.00	0.82	0.60	0.96	0.62
KN806537.1	40304	0.96	0.98	0.75	0.91	0.95	0.98
KN806537.1	40331	0.90	0.97	0.75	0.91	1.00	0.98
KN806537.1	40339	0.91	0.97	0.94	0.21	0.96	0.86
KN806537.1	53368	0.88	0.18	0.10	0.60	0.43	0.28
KN806538.1	32045	0.95	1.00	1.00	0.94	0.73	0.87
KN806538.1	32058	0.92	0.62	0.58	0.95	0.78	0.87
KN806538.1	35623	0.73	1.00	1.00	1.00	0.89	0.93
KN806546.1	42	0.91	1.00	0.90	0.86	0.86	0.72
KN806560.1	57517	0.98	1.00	1.00	1.00	0.10	1.00
KN806563.1	16380	0.68	0.47	0.13	0.95	0.76	0.96
KN806564.1	38698	0.21	0.26	0.39	0.50	0.33	0.32
KN806567.1	76312	0.78	0.92	1.00	0.97	0.91	0.93
KN806567.1	76318	0.91	0.92	1.00	0.21	0.91	0.91
KN806567.1	76323	0.93	0.83	1.00	0.96	0.83	0.98
KN806567.1	76325	0.93	1.00	0.82	0.17	0.91	0.91
KN806571.1	2235	0.81	1.00	0.97	0.39	0.98	0.80
KN806571.1	2268	0.71	0.89	0.97	0.36	0.95	0.95
KN806571.1	2276	0.94	1.00	0.87	0.25	0.98	0.88
KN806571.1	2280	0.94	1.00	0.97	0.30	0.91	0.93
KN806573.1	38064	0.78	0.96	0.82	0.94	0.51	0.95
KN806573.1	38075	0.80	1.00	0.82	0.69	0.56	0.96
KN806573.1	38084	0.88	1.00	0.82	0.92	0.96	0.92
KN806574.1	52002	0.39	1.00	1.00	1.00	0.98	1.00
KN806574.1	52034	0.99	1.00	0.94	1.00	0.72	1.00
KN806585.1	1976	0.36	1.00	0.75	0.79	0.90	0.96
KN806589.1	13618	0.65	0.30	0.70	0.52	0.18	0.20
KN806590.1	47058	0.97	1.00	0.42	0.96	0.69	0.63
KN806590.1	47065	0.99	0.99	0.55	0.93	1.00	0.76
KN806590.1	47339	0.59	0.74	0.45	0.50	0.27	0.24
KN806593.1	44809	0.61	0.44	0.90	0.97	0.84	0.80
KN806594.1	46270	0.97	0.70	0.62	1.00	0.97	0.99
KN806594.1	46292	0.97	0.80	1.00	0.84	0.97	0.97
KN806594.1	46305	1.00	0.90	0.83	0.84	0.97	0.71
KN806594.1	46308	1.00	0.80	1.00	0.84	1.00	0.84
KN806594.1	46428	0.82	0.83	0.30	0.83	0.88	0.80
KN806598.1	25911	1.00	1.00	1.00	1.00	1.00	1.00
KN806598.1	25914	0.43	1.00	1.00	0.50	0.86	1.00
KN806601.1	12560	0.21	0.45	0.58	0.94	0.67	0.91
KN806601.1	32985	0.93	0.97	0.95	0.73	0.85	0.88
KN806601.1	32988	0.93	0.97	0.95	0.87	0.85	0.84
KN806609.1	3579	0.80	0.40	0.29	0.85	0.90	0.93
KN806609.1	3597	0.81	0.90	0.76	0.84	0.93	0.95
KN806622.1	35941	0.95	0.74	1.00	0.67	0.98	0.40
KN806629.1	13270	0.99	1.00	1.00	0.31	1.00	1.00
KN806629.1	41539	0.83	0.61	1.00	1.00	0.85	0.93
KN806629.1	41815	0.99	0.62	0.65	0.63	0.46	0.93
KN806629.1	41847	0.69	1.00	0.75	0.78	0.95	0.56
KN806629.1	41849	0.94	0.96	0.75	0.78	0.73	0.93
KN806629.1	41854	0.89	0.31	1.00	0.72	0.68	0.97
KN806629.1	41860	0.98	0.87	0.67	0.65	0.63	0.97
KN806638.1	18183	0.93	0.54	0.90	0.86	0.98	0.94
KN806639.1	33298	0.72	1.00	1.00	0.73	0.66	1.00
KN806640.1	26720	0.28	0.93	0.94	0.93	0.94	1.00
KN806640.1	26739	0.28	0.40	0.88	1.00	1.00	1.00
KN806641.1	49498	0.77	1.00	0.89	0.83	0.71	0.96
KN806643.1	578	0.86	0.65	0.73	0.71	0.39	0.55
KN806650.1	2018	0.66	0.76	1.00	0.89	0.94	0.78
KN806658.1	11562	0.91	1.00	1.00	0.95	0.17	0.98
KN806658.1	11575	0.91	0.97	0.79	0.88	0.55	1.00
KN806658.1	11586	0.91	1.00	1.00	0.85	0.96	0.98
KN806658.1	11590	0.85	0.18	0.79	0.83	0.44	0.98
KN806661.1	15698	0.99	0.44	0.29	0.45	0.31	0.97
KN806664.1	16197	0.57	0.96	0.88	0.95	0.63	0.59
KN806666.1	40809	0.82	0.83	0.76	0.78	0.93	0.79
KN806666.1	40841	0.74	0.53	0.88	0.72	0.81	0.64
KN806666.1	40850	0.93	1.00	0.95	0.83	0.95	0.87
KN806668.1	93389	0.98	0.12	1.00	0.95	0.52	0.92
KN806672.1	41179	0.24	0.92	0.69	0.98	0.21	0.52
KN806686.1	15366	0.44	0.90	1.00	0.92	0.95	0.84
KN806690.1	79834	0.36	1.00	0.80	0.88	0.94	0.75
KN806690.1	79839	0.96	0.98	1.00	0.93	0.90	0.89
KN806690.1	79841	0.91	0.95	0.80	0.88	0.86	0.91
KN806690.1	79979	0.92	0.98	0.67	0.97	0.96	0.84
KN806690.1	80103	0.37	0.61	0.60	0.22	0.30	0.46
KN806692.1	1657	0.91	0.13	1.00	1.00	1.00	0.77
KN806711.1	73043	0.44	0.18	0.14	0.57	0.30	0.50
KN806713.1	30826	0.74	0.88	0.63	0.85	0.54	0.65
KN806713.1	30862	0.60	0.73	0.65	0.70	0.81	0.80
KN806713.1	30869	0.55	0.73	0.70	0.65	0.67	0.68
KN806722.1	1909	0.57	0.52	0.53	0.87	0.74	0.75
KN806728.1	628	0.86	0.91	0.83	0.91	0.95	0.84
KN806729.1	14618	0.84	0.50	1.00	0.81	0.83	0.71
KN806729.1	15479	0.95	0.76	1.00	0.78	0.75	0.85
KN806730.1	38072	0.98	0.95	0.80	0.91	0.95	0.82
KN806730.1	38075	0.92	0.95	0.80	0.96	0.73	0.64
KN806730.1	38088	0.92	1.00	0.80	0.91	0.96	0.91
KN806740.1	11287	0.71	0.57	0.83	0.58	0.87	0.81
KN806740.1	11319	0.81	0.80	0.82	0.75	0.87	0.70
KN806740.1	11321	0.86	0.73	0.91	0.91	0.93	0.90
KN806740.1	11326	0.86	0.73	0.91	0.82	0.93	0.85
KN806749.1	30763	0.94	0.69	1.00	1.00	0.68	1.00
KN806749.1	30767	1.00	1.00	1.00	1.00	0.69	1.00
KN806749.1	30769	0.84	1.00	0.67	1.00	0.99	1.00
KN806749.1	30772	0.36	0.64	1.00	1.00	1.00	1.00
KN806749.1	30799	1.00	1.00	1.00	1.00	0.92	0.99
KN806749.1	30801	0.82	1.00	0.71	1.00	0.94	1.00
KN806757.1	2368	0.88	0.91	0.94	0.75	0.83	0.93
KN806764.1	40383	0.98	0.79	0.16	0.75	1.00	0.84
KN806773.1	9156	0.85	1.00	1.00	0.97	0.95	0.95
KN806773.1	9163	0.88	1.00	0.70	0.84	0.92	0.90
KN806773.1	9167	0.76	1.00	1.00	0.84	0.75	0.95
KN806781.1	3691	0.46	1.00	1.00	0.63	0.60	0.42
KN806781.1	3722	0.82	1.00	1.00	0.99	0.92	0.95
KN806791.1	11346	0.89	0.55	0.47	0.56	0.69	0.88
KN806795.1	7414	0.15	0.10	0.33	0.72	0.26	0.36
KN806796.1	42416	0.50	0.41	0.55	0.59	0.45	0.52
KN806797.1	9029	0.93	1.00	1.00	1.00	1.00	0.95
KN806797.1	9047	0.93	0.91	1.00	1.00	1.00	0.80
KN806799.1	19980	0.60	0.63	0.43	0.78	0.67	0.40
KN806804.1	34321	0.71	0.82	0.45	0.95	0.74	0.75
KN806805.1	19013	0.73	0.91	0.91	0.26	0.94	0.44
KN806815.1	73134	0.76	0.89	0.89	0.84	0.91	0.69
KN806815.1	73142	0.90	0.97	0.71	1.00	1.00	0.89
KN806815.1	73169	0.96	0.98	0.71	0.61	0.97	0.97
KN806826.1	5637	0.96	0.92	0.44	1.00	0.89	0.91
KN806830.1	25697	0.94	0.92	0.91	0.75	0.86	0.73
KN806830.1	25705	1.00	0.89	1.00	0.88	0.93	0.70
KN806848.1	32844	0.95	0.40	1.00	0.98	0.95	0.64
KN806849.1	39481	0.86	0.27	1.00	0.38	0.74	0.76
KN806854.1	24495	0.93	0.27	0.53	0.37	0.92	0.94
KN806857.1	15163	0.49	0.92	0.96	0.79	0.94	0.92
KN806857.1	15167	0.44	0.31	0.54	0.80	0.76	0.73
KN806857.1	15174	0.52	0.42	0.92	0.89	0.97	0.73
KN806857.1	15198	0.40	0.42	0.61	0.86	0.86	0.55
KN806857.1	15210	0.67	0.73	0.90	0.97	0.99	0.99
KN806867.1	19046	0.90	0.38	0.93	0.95	0.38	0.89
KN806867.1	34463	0.90	0.92	0.94	0.87	0.89	0.66
KN806867.1	34471	0.90	0.97	0.71	1.00	1.00	0.98
KN806867.1	34498	0.96	0.98	0.71	1.00	0.88	0.98
KN806869.1	2032	0.40	0.83	0.78	0.96	0.70	1.00
KN806869.1	2051	0.40	0.96	0.70	1.00	0.80	1.00
KN806874.1	32902	0.19	0.45	0.31	0.17	0.29	0.10
KN806876.1	33989	0.71	0.27	0.91	0.76	0.88	0.90
KN806884.1	13632	0.98	0.96	0.82	0.95	0.97	0.91
KN806884.1	13640	0.97	0.94	0.64	0.92	0.63	0.93
KN806892.1	38612	0.91	1.00	1.00	0.98	0.19	0.99
KN806892.1	38625	0.91	0.97	0.79	0.92	0.56	1.00
KN806892.1	38636	0.91	1.00	1.00	0.92	0.96	0.98
KN806892.1	38640	0.85	0.18	0.79	0.54	0.45	0.98
KN806905.1	38412	0.90	0.94	0.73	0.99	0.40	0.97
KN806906.1	13782	0.91	0.97	0.79	0.88	0.63	1.00
KN806906.1	13793	0.91	1.00	1.00	0.88	0.97	0.98
KN806906.1	13797	0.88	0.18	0.79	0.85	0.54	0.98
KN806907.1	8113	0.89	0.43	0.47	0.74	0.85	0.83
KN806907.1	32931	0.48	0.73	0.67	0.56	0.26	0.48
KN806907.1	33402	0.79	0.84	1.00	0.70	0.89	0.86
KN806907.1	33408	0.79	1.00	0.69	0.76	0.89	0.96
KN806907.1	33419	0.77	0.19	1.00	0.72	0.50	0.55
KN806914.1	67790	0.69	0.98	0.86	0.85	0.86	0.88
KN806914.1	67798	0.50	0.98	0.97	0.25	0.99	0.95
KN806914.1	67831	0.53	1.00	0.97	1.00	0.99	0.83
KN806914.1	68205	0.69	0.98	0.86	0.85	0.86	0.88
KN806914.1	68213	0.50	0.98	0.97	0.25	0.99	0.95
KN806914.1	68246	0.38	0.91	0.92	0.49	0.87	0.74
KN806919.1	12932	0.95	0.37	0.50	0.50	0.65	0.89
KN806928.1	2045	0.33	1.00	1.00	1.00	0.93	0.83
KN806928.1	2065	0.11	1.00	1.00	1.00	0.82	1.00
KN806931.1	120	0.71	0.45	0.72	0.86	0.60	0.57
KN806931.1	130	0.64	0.18	0.52	0.76	0.47	0.67
KN806934.1	13499	0.82	0.68	0.75	0.85	0.93	0.90
KN806953.1	5620	0.72	1.00	1.00	0.49	1.00	0.74
KN806954.1	26470	0.44	0.32	1.00	0.69	0.42	0.57
KN806961.1	22403	0.30	0.12	0.26	0.56	0.25	0.60
KN806969.1	24821	0.92	0.29	1.00	0.51	0.71	0.83
KN806972.1	21630	0.94	0.80	0.71	0.89	0.84	0.79
KN806972.1	21633	0.93	1.00	0.83	0.98	0.93	0.91
KN806972.1	21646	0.93	0.79	0.83	0.98	0.93	0.88
KN806976.1	29251	1.00	1.00	1.00	1.00	1.00	1.00
KN806976.1	29252	1.00	1.00	1.00	1.00	1.00	1.00
KN806976.1	29256	0.70	1.00	0.99	1.00	1.00	1.00
KN806976.1	29265	1.00	1.00	1.00	1.00	1.00	1.00
KN806976.1	29271	1.00	1.00	1.00	1.00	1.00	1.00
KN806983.1	13985	0.93	1.00	1.00	1.00	0.67	0.96
KN806983.1	13989	0.92	1.00	1.00	0.86	0.93	0.98
KN806983.1	14009	1.00	0.65	1.00	0.92	0.60	0.98
KN806983.1	14020	1.00	1.00	1.00	0.92	0.75	1.00
KN806990.1	1425	0.18	0.40	0.19	0.82	0.77	0.94
KN806995.1	64262	0.21	0.52	0.19	0.22	0.26	0.35
KN806995.1	64294	0.72	0.88	0.35	0.51	0.54	0.62
KN806995.1	64296	0.70	0.70	0.55	0.98	0.94	0.84
KN806995.1	64301	0.73	0.81	0.64	0.93	0.91	0.69
KN806995.1	64307	0.71	0.84	0.64	0.98	0.98	0.90
KN807005.1	25112	0.94	0.91	1.00	0.50	0.60	0.98
KN807013.1	16193	0.61	0.70	0.71	0.89	0.53	0.57
KN807024.1	9372	0.81	0.94	0.95	0.41	0.97	0.47
KN807024.1	9405	0.71	0.97	0.95	0.30	0.97	0.81
KN807024.1	9413	0.94	1.00	0.83	0.26	0.97	0.69
KN807024.1	9417	1.00	1.00	0.95	0.27	0.94	0.75
KN807033.1	10873	0.48	0.58	0.62	0.66	0.72	0.72
KN807043.1	24186	0.86	0.65	0.95	0.80	0.82	0.79
KN807043.1	24188	0.86	0.70	0.95	1.00	0.95	0.85
KN807043.1	24193	0.86	0.85	0.89	0.87	0.89	0.85
KN807046.1	20522	0.64	0.29	0.50	0.58	0.42	0.57
KN807046.1	20532	0.72	0.29	0.71	0.67	0.55	0.60
KN807056.1	25364	0.89	0.18	0.10	0.63	0.41	0.69
KN807081.1	13107	0.91	0.10	0.19	1.00	0.49	0.61
KN807081.1	13509	0.32	0.24	0.45	0.54	0.30	0.43
KN807081.1	13523	0.59	0.41	0.34	0.82	0.53	0.61
KN807084.1	748	0.91	0.91	0.53	0.91	0.67	0.77
KN807084.1	866	0.91	0.85	0.97	0.73	0.80	0.97
KN807086.1	17125	0.72	0.67	0.58	0.80	0.87	0.80
KN807086.1	17175	0.90	0.91	0.69	0.95	1.00	0.99
KN807092.1	23170	0.88	0.25	1.00	0.38	0.74	0.84
KN807101.1	2792	0.92	0.96	1.00	0.57	0.62	1.00
KN807102.1	20793	0.63	0.48	0.67	0.75	0.70	0.76
KN807102.1	20829	0.89	0.87	0.92	0.92	0.92	0.88
KN807102.1	20835	0.87	0.93	0.97	0.93	0.88	0.89
KN807102.1	20843	0.87	0.73	0.88	0.86	0.80	0.86
KN807102.1	21189	0.97	0.28	0.45	0.76	0.56	0.90
KN807113.1	2256	0.86	1.00	0.60	0.83	0.87	0.70
KN807113.1	2434	0.46	0.50	1.00	0.93	0.90	0.63
KN807113.1	2442	0.35	0.60	1.00	0.98	0.94	0.73
KN807113.1	2448	0.39	0.70	0.75	0.53	0.85	0.50
KN807138.1	5539	0.89	0.83	1.00	0.89	0.97	0.95
KN807138.1	5542	0.95	1.00	0.87	1.00	0.90	0.95
KN807138.1	5555	0.89	1.00	1.00	1.00	0.82	0.90
KN807138.1	6189	0.97	1.00	1.00	1.00	1.00	0.96
KN807138.1	6206	0.52	0.93	1.00	0.46	0.58	0.75
KN807142.1	13023	0.68	0.79	0.53	0.72	0.51	0.64
KN807157.1	3536	0.59	1.00	1.00	0.60	1.00	0.13
KN807157.1	3566	0.93	0.18	1.00	1.00	1.00	0.78
KN807169.1	3002	0.72	1.00	0.62	0.23	0.42	0.41
KN807169.1	64331	0.73	1.00	0.90	0.96	0.72	0.88
KN807177.1	12070	0.32	0.93	0.77	0.25	0.76	1.00
KN807177.1	12072	0.77	1.00	0.95	0.24	0.62	0.79
KN807177.1	12077	0.77	0.86	0.91	0.23	0.61	0.89
KN807177.1	12083	1.00	1.00	0.91	0.46	0.84	0.94
KN807180.1	81726	0.64	0.75	0.52	0.64	0.82	0.88
KN807180.1	81750	1.00	0.75	1.00	0.64	0.50	0.71
KN807180.1	81757	0.50	0.56	0.64	0.62	0.65	0.67
KN807180.1	81761	1.00	0.88	1.00	0.71	0.96	1.00
KN807182.1	15144	0.18	0.40	0.19	0.82	0.62	0.94
KN807188.1	5207	0.93	0.82	0.88	0.96	0.97	0.93
KN807188.1	5215	0.91	0.91	0.75	0.84	0.71	0.93
KN807196.1	3823	0.21	0.45	0.58	0.94	0.67	0.91
KN807201.1	4838	0.26	0.15	0.39	0.17	0.64	0.73
KN807228.1	17079	0.88	0.58	0.73	0.98	0.94	0.94
KN807228.1	17110	0.78	0.64	0.71	0.96	0.92	0.90
KN807237.1	5359	0.53	0.70	0.52	0.73	0.30	0.10
KN807245.1	5030	0.88	0.14	1.00	0.56	0.83	0.84
