chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
KN806869.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806869.1:1:37954:1 REF	17767	0.64	0.78	0.54	0.80	0.82	0.44	1.00
KN806876.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806876.1:1:42549:1 REF	36390	0.75	0.83	1.00	1.00	0.86	1.00	0.89
KN806876.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806876.1:1:42549:1 REF	36398	0.75	1.00	1.00	0.97	0.93	1.00	0.89
KN806877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806877.1:1:66178:1 REF	16593	0.96	0.91	0.93	1.00	0.45	0.63	0.91
KN806877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806877.1:1:66178:1 REF	16598	1.00	0.91	0.96	0.98	0.49	0.39	0.73
KN806877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806877.1:1:66178:1 REF	17012	0.93	0.75	0.93	0.95	0.97	0.98	0.89
KN806877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806877.1:1:66178:1 REF	17019	0.61	0.69	0.86	0.95	0.94	0.96	0.71
KN806877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806877.1:1:66178:1 REF	17023	0.92	0.78	0.95	1.00	0.95	0.98	0.77
KN806884.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806884.1:1:41968:1 REF	13632	0.95	0.97	0.91	0.98	0.86	0.89	0.94
KN806884.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806884.1:1:41968:1 REF	13640	0.92	0.63	0.93	0.98	0.81	0.85	1.00
KN806888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806888.1:1:36741:1 REF	21338	0.42	0.55	0.76	0.47	0.80	1.00	0.62
KN806903.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806903.1:1:41762:1 REF	22985	0.20	0.80	0.76	0.50	0.54	0.42	0.95
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8083	0.76	0.65	0.40	0.89	0.97	0.50	0.49
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8113	0.74	0.85	0.83	0.97	0.94	0.76	0.86
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8297	1.00	0.92	0.97	1.00	0.74	0.94	0.99
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8344	1.00	0.85	1.00	0.77	1.00	1.00	0.99
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8372	1.00	0.91	1.00	0.76	1.00	1.00	1.00
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	8379	0.98	0.69	1.00	1.00	1.00	1.00	1.00
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	33402	0.70	0.89	0.86	0.96	0.93	0.61	0.20
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	33408	0.76	0.89	0.96	0.88	0.51	0.61	0.20
KN806907.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806907.1:1:38087:1 REF	33419	0.72	0.50	0.55	0.71	0.78	0.61	0.20
KN806914.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806914.1:1:68456:1 REF	21730	0.46	0.88	0.72	0.79	0.80	0.70	0.25
KN806914.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806914.1:1:68456:1 REF	67790	0.85	0.86	0.88	1.00	0.97	0.93	1.00
KN806914.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806914.1:1:68456:1 REF	68205	0.85	0.86	0.88	1.00	0.97	0.93	1.00
KN806917.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806917.1:1:34845:1 REF	32535	0.88	0.44	0.28	0.20	0.80	0.59	0.74
KN806919.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806919.1:1:38765:1 REF	12932	0.50	0.65	0.89	0.94	0.94	0.69	0.86
KN806919.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806919.1:1:38765:1 REF	12962	0.58	0.41	0.28	0.70	0.83	0.59	0.30
KN806928.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806928.1:1:34343:1 REF	4871	0.82	0.81	0.14	0.36	0.61	0.11	0.17
KN806938.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806938.1:1:63497:1 REF	8920	0.50	1.00	0.87	0.66	1.00	1.00	1.00
KN806938.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806938.1:1:63497:1 REF	8955	1.00	0.99	0.91	0.43	1.00	0.98	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13383	0.97	0.90	1.00	0.84	0.94	0.90	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13392	0.89	0.49	1.00	0.97	0.26	0.62	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13394	1.00	0.93	0.92	1.00	1.00	0.81	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13400	0.54	0.78	0.92	1.00	0.83	0.90	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13402	0.91	0.83	1.00	0.91	1.00	0.90	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13405	0.42	0.88	0.91	0.99	0.95	0.43	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	13424	1.00	0.95	0.91	0.53	1.00	0.92	1.00
KN806944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806944.1:1:33205:1 REF	26299	0.61	0.61	0.83	0.86	1.00	0.25	0.68
KN806951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806951.1:1:34504:1 REF	21395	0.93	0.75	0.82	0.76	0.81	0.79	0.85
KN806951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806951.1:1:34504:1 REF	21401	0.94	0.73	0.85	0.76	0.73	0.85	0.75
KN806951.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806951.1:1:34504:1 REF	21409	0.85	0.75	0.79	0.57	0.81	0.64	0.58
KN806953.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806953.1:1:32933:1 REF	5620	0.49	1.00	0.74	0.93	0.96	0.97	0.90
KN806954.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806954.1:1:34148:1 REF	3728	0.27	0.74	0.94	0.90	0.77	0.12	0.49
KN806954.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806954.1:1:34148:1 REF	26470	0.69	0.42	0.57	0.33	0.54	0.23	0.53
KN806961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806961.1:1:39486:1 REF	26654	0.82	0.64	0.97	0.71	0.36	0.71	1.00
KN806971.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806971.1:1:32728:1 REF	19124	0.96	0.95	0.42	0.97	1.00	0.57	0.94
KN806971.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806971.1:1:32728:1 REF	19157	0.93	0.95	0.68	0.97	0.95	0.93	1.00
KN806971.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806971.1:1:32728:1 REF	19165	0.82	0.95	0.58	0.94	0.86	0.64	1.00
KN806971.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806971.1:1:32728:1 REF	19169	0.87	0.93	0.79	0.94	0.94	0.50	0.82
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21630	0.89	0.84	0.79	1.00	0.67	0.97	0.84
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21631	0.91	0.97	0.94	0.97	1.00	0.91	0.86
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21633	0.98	0.93	0.91	0.97	0.64	0.93	0.97
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21634	0.91	0.97	0.96	0.98	0.95	0.73	0.82
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21646	0.98	0.93	0.88	0.97	0.68	0.86	0.95
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21647	0.95	0.97	0.94	0.98	0.95	0.82	0.82
KN806972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806972.1:1:32528:1 REF	21669	0.86	0.77	0.94	0.90	0.92	0.82	0.86
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	23502	0.89	0.89	0.95	0.99	0.96	0.85	0.81
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	23508	0.36	0.98	0.69	0.96	0.65	0.77	0.88
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	23513	0.82	0.98	0.68	0.97	0.92	0.65	0.88
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	23515	0.90	0.87	0.88	0.96	0.90	0.68	0.88
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	31746	0.73	0.57	0.73	0.27	0.45	0.79	1.00
KN806973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806973.1:1:34398:1 REF	31774	0.70	0.85	0.97	0.60	0.83	0.91	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	13985	1.00	0.67	0.96	0.69	1.00	0.91	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	13989	0.86	0.93	0.98	0.81	0.98	1.00	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14009	0.92	0.60	0.98	1.00	1.00	1.00	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14020	0.92	0.75	1.00	0.88	1.00	0.92	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14023	1.00	0.95	1.00	1.00	0.98	0.83	0.95
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14530	1.00	0.93	0.94	0.40	1.00	0.85	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14549	0.81	0.83	0.94	0.99	0.91	0.63	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14552	1.00	0.80	1.00	0.93	0.96	0.98	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14554	1.00	0.67	0.94	1.00	0.78	0.98	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14560	1.00	0.90	0.93	1.00	1.00	0.94	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14562	0.78	0.63	1.00	0.97	0.43	0.87	1.00
KN806983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806983.1:1:35102:1 REF	14571	1.00	0.90	1.00	0.95	0.91	0.98	1.00
KN806995.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806995.1:1:67879:1 REF	64262	0.22	0.26	0.35	0.48	0.46	0.40	0.31
KN806995.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806995.1:1:67879:1 REF	64294	0.51	0.54	0.62	0.77	0.82	0.38	0.55
KN806995.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806995.1:1:67879:1 REF	64296	0.98	0.94	0.84	0.72	0.74	0.49	0.75
KN806995.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806995.1:1:67879:1 REF	64301	0.93	0.91	0.69	0.74	0.79	0.57	0.74
KN806995.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806995.1:1:67879:1 REF	64307	0.98	0.98	0.90	0.68	0.75	0.60	0.68
KN806997.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806997.1:1:61222:1 REF	49845	0.65	0.94	0.59	0.83	0.84	0.94	1.00
KN806997.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806997.1:1:61222:1 REF	49863	0.55	0.75	0.19	0.76	0.68	0.52	0.80
KN806997.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806997.1:1:61222:1 REF	49868	0.81	0.76	0.77	0.43	0.43	0.83	0.71
KN806997.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806997.1:1:61222:1 REF	49871	0.79	0.93	0.79	0.60	0.58	0.92	0.73
KN806999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806999.1:1:31368:1 REF	9263	0.90	0.63	0.96	0.96	0.99	0.53	1.00
KN806999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806999.1:1:31368:1 REF	9276	0.90	0.52	0.72	1.00	0.99	0.88	1.00
KN806999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806999.1:1:31368:1 REF	9282	1.00	1.00	1.00	0.96	1.00	0.98	1.00
KN806999.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806999.1:1:31368:1 REF	9308	0.90	0.81	1.00	0.96	1.00	0.98	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	25112	0.50	0.60	0.98	0.96	0.92	0.93	0.96
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34694	0.93	0.87	1.00	0.95	0.89	0.95	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34703	0.80	0.67	1.00	0.97	0.44	0.63	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34705	1.00	0.90	0.92	1.00	1.00	0.84	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34711	1.00	0.70	0.92	1.00	0.72	0.95	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34713	1.00	0.77	1.00	0.90	1.00	0.95	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34716	1.00	0.83	1.00	1.00	0.89	1.00	1.00
KN807005.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807005.1:1:36922:1 REF	34735	1.00	0.90	1.00	0.37	1.00	1.00	0.98
KN807009.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807009.1:1:31297:1 REF	2416	0.76	1.00	0.96	0.29	1.00	1.00	0.30
KN807024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807024.1:1:69063:1 REF	9413	0.26	0.97	0.69	0.97	0.98	0.58	1.00
KN807024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807024.1:1:69063:1 REF	9417	0.27	0.94	0.75	0.98	0.99	0.58	1.00
KN807033.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807033.1:1:34093:1 REF	10873	0.66	0.72	0.72	0.41	0.47	0.80	0.84
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24186	0.80	0.82	0.79	0.91	0.86	0.80	0.86
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24188	1.00	0.95	0.85	0.97	0.80	0.92	0.96
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24193	0.87	0.89	0.85	0.94	0.89	0.88	0.90
KN807056.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807056.1:1:30634:1 REF	4529	1.00	0.74	0.99	0.80	0.99	0.40	1.00
KN807064.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807064.1:1:33698:1 REF	2457	0.57	0.93	0.99	0.93	1.00	1.00	1.00
KN807064.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807064.1:1:33698:1 REF	2493	0.99	1.00	0.81	1.00	0.99	1.00	1.00
KN807068.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807068.1:1:88502:1 REF	36576	0.79	0.86	0.76	0.22	0.93	1.00	1.00
KN807068.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807068.1:1:88502:1 REF	36599	0.79	0.37	0.78	1.00	1.00	1.00	0.61
KN807068.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807068.1:1:88502:1 REF	85727	0.50	1.00	0.98	0.73	0.89	1.00	0.97
KN807070.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807070.1:1:35709:1 REF	1416	0.82	0.61	0.81	0.68	0.85	0.77	0.90
KN807086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807086.1:1:59484:1 REF	17125	0.80	0.87	0.80	0.69	0.89	0.83	0.77
KN807086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807086.1:1:59484:1 REF	17175	0.95	1.00	0.99	1.00	0.95	0.85	1.00
KN807092.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807092.1:1:29262:1 REF	4027	0.71	0.89	0.96	0.76	0.81	0.82	0.14
KN807092.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807092.1:1:29262:1 REF	4059	0.86	0.89	0.83	0.76	0.57	0.82	0.18
KN807092.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807092.1:1:29262:1 REF	4061	0.93	0.93	0.92	0.88	0.67	0.82	1.00
KN807097.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807097.1:1:29765:1 REF	8632	0.46	0.36	1.00	1.00	1.00	0.29	0.99
KN807097.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807097.1:1:29765:1 REF	8663	0.46	1.00	1.00	1.00	0.98	0.29	1.00
KN807097.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807097.1:1:29765:1 REF	8671	1.00	0.36	1.00	0.45	1.00	0.29	0.96
KN807101.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807101.1:1:30723:1 REF	2318	0.96	0.62	0.67	0.74	0.88	1.00	1.00
KN807101.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807101.1:1:30723:1 REF	22583	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN807101.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807101.1:1:30723:1 REF	22591	0.96	1.00	0.97	0.99	1.00	1.00	1.00
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20793	0.75	0.70	0.76	0.59	0.63	0.53	0.67
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20835	0.93	0.88	0.89	0.88	0.89	0.86	0.86
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20843	0.86	0.80	0.86	0.78	0.89	0.84	0.83
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20947	0.88	0.76	0.75	0.91	0.98	0.82	0.23
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21189	0.76	0.56	0.90	0.97	0.85	1.00	0.98
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21221	0.59	0.96	1.00	1.00	0.82	0.94	0.98
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21223	0.86	0.80	0.94	1.00	0.88	0.95	0.86
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21228	0.83	0.79	1.00	1.00	0.88	0.94	0.89
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21234	0.86	0.30	1.00	0.89	0.97	1.00	0.98
KN807110.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807110.1:1:27265:1 REF	17059	0.86	0.90	1.00	0.58	1.00	0.97	1.00
KN807110.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807110.1:1:27265:1 REF	17088	0.91	0.81	1.00	0.74	0.98	1.00	1.00
KN807116.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807116.1:1:31125:1 REF	2292	0.47	0.90	0.97	1.00	0.86	1.00	1.00
KN807120.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807120.1:1:27149:1 REF	5952	0.33	0.61	0.24	0.26	0.31	0.28	0.16
KN807120.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807120.1:1:27149:1 REF	5960	0.46	0.68	0.63	0.23	0.25	0.39	0.13
KN807124.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807124.1:1:32116:1 REF	13242	0.90	0.41	0.88	1.00	0.90	0.61	1.00
KN807126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807126.1:1:26510:1 REF	13170	0.68	0.69	1.00	0.84	0.97	1.00	0.93
KN807126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807126.1:1:26510:1 REF	13187	0.67	0.72	0.87	0.89	0.95	0.14	1.00
KN807126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807126.1:1:26510:1 REF	13192	0.12	0.83	1.00	0.95	0.90	0.14	0.93
KN807126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807126.1:1:26510:1 REF	13201	1.00	0.68	1.00	0.68	0.97	0.97	1.00
KN807138.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807138.1:1:26675:1 REF	5540	0.90	0.82	0.88	0.39	0.85	1.00	0.69
KN807138.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807138.1:1:26675:1 REF	5543	0.98	0.91	0.94	1.00	0.88	1.00	0.77
KN807138.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807138.1:1:26675:1 REF	5556	0.98	0.83	0.94	1.00	0.96	1.00	0.85
KN807138.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807138.1:1:26675:1 REF	5578	0.92	0.68	0.94	0.54	0.76	0.12	0.79
KN807142.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807142.1:1:34468:1 REF	13023	0.72	0.51	0.64	0.57	0.68	0.88	0.95
KN807145.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807145.1:1:27750:1 REF	23712	0.90	0.84	0.88	0.93	0.93	0.94	0.96
KN807145.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807145.1:1:27750:1 REF	23722	0.93	0.89	0.83	0.87	0.89	1.00	0.96
KN807160.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807160.1:1:26299:1 REF	12089	0.63	0.55	0.69	0.82	0.78	0.56	0.95
KN807166.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807166.1:1:26691:1 REF	16745	0.46	0.15	0.59	0.18	0.58	0.52	0.82
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11812	1.00	0.88	1.00	0.35	1.00	1.00	1.00
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11831	0.94	0.82	1.00	1.00	0.93	1.00	1.00
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11834	1.00	0.80	1.00	0.94	1.00	0.95	1.00
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11836	1.00	0.70	0.91	1.00	0.86	0.95	1.00
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11842	1.00	0.88	0.91	0.98	1.00	0.84	1.00
KN807175.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807175.1:1:28624:1 REF	11844	0.82	0.68	1.00	0.97	0.54	0.63	1.00
