chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN808566.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808566.1:1:14451:1 REF	8638	0.48	0.88	0.33	0.52	0.66	0.16
KN808649.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808649.1:1:11308:1 REF	9464	0.63	0.56	0.82	0.18	0.12	0.25
KN808657.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808657.1:1:10067:1 REF	9377	0.82	0.50	0.91	0.65	0.71	0.93
KN808732.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808732.1:1:9851:1 REF	4025	0.95	1.00	0.95	0.89	0.96	0.88
KN808732.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808732.1:1:9851:1 REF	4049	0.92	0.98	0.95	0.89	0.92	0.88
KN808732.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808732.1:1:9851:1 REF	4056	0.95	1.00	0.95	0.95	1.00	0.81
KN808732.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808732.1:1:9851:1 REF	4643	0.71	1.00	0.90	0.82	0.92	0.23
KN808735.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808735.1:1:9735:1 REF	6780	0.89	0.60	0.47	0.48	0.86	0.88
KN808770.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808770.1:1:12633:1 REF	11851	0.96	0.22	0.85	0.58	0.56	0.34
KN808818.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808818.1:1:9547:1 REF	1328	0.93	1.00	0.93	0.93	0.91	0.96
KN808831.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808831.1:1:9207:1 REF	2555	0.92	1.00	1.00	1.00	0.37	0.54
KN808839.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808839.1:1:11302:1 REF	10116	0.67	0.50	0.58	0.76	0.71	0.60
KN808841.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808841.1:1:9282:1 REF	430	0.38	0.50	0.88	0.74	0.83	0.80
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8217	0.76	0.98	1.00	0.94	1.00	0.94
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8221	0.81	1.00	1.00	0.89	0.98	0.94
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8227	0.95	1.00	1.00	0.97	0.98	0.98
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8232	0.95	1.00	0.90	1.00	0.91	0.90
KN808893.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808893.1:1:9015:1 REF	8250	0.75	1.00	1.00	0.86	0.47	0.94
KN808956.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808956.1:1:10770:1 REF	9791	0.70	0.18	0.10	0.60	0.43	0.90
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4869	0.69	0.21	0.88	0.62	0.89	0.82
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4901	0.92	0.93	0.73	0.75	0.40	0.90
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4903	0.96	0.28	0.87	0.71	0.88	0.95
KN808958.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808958.1:1:8739:1 REF	4908	0.96	0.34	0.80	0.83	0.90	0.97
KN808982.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808982.1:1:8885:1 REF	962	0.67	1.00	1.00	0.81	0.81	0.68
KN808991.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808991.1:1:9456:1 REF	712	1.00	1.00	1.00	0.50	0.90	1.00
KN808991.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808991.1:1:9456:1 REF	716	1.00	1.00	1.00	0.81	1.00	1.00
KN808991.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808991.1:1:9456:1 REF	1336	0.61	0.95	0.97	0.97	0.73	0.78
KN809007.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809007.1:1:8814:1 REF	2432	1.00	1.00	1.00	0.62	1.00	1.00
KN809007.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809007.1:1:8814:1 REF	2433	1.00	1.00	1.00	1.00	1.00	1.00
KN809007.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809007.1:1:8814:1 REF	2554	1.00	1.00	1.00	1.00	1.00	1.00
KN809007.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809007.1:1:8814:1 REF	2565	1.00	1.00	1.00	1.00	1.00	1.00
KN809008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809008.1:1:8614:1 REF	7219	1.00	1.00	1.00	0.97	1.00	0.92
KN809008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809008.1:1:8614:1 REF	7236	1.00	1.00	0.95	0.97	1.00	0.36
KN809008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809008.1:1:8614:1 REF	7242	1.00	0.88	1.00	0.91	0.94	0.37
KN809008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809008.1:1:8614:1 REF	7245	0.92	0.96	1.00	0.13	1.00	0.68
KN809008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809008.1:1:8614:1 REF	7250	1.00	1.00	1.00	0.13	1.00	0.67
KN809023.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809023.1:1:9067:1 REF	5329	0.82	0.50	0.88	0.32	0.95	0.69
KN809025.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809025.1:1:8556:1 REF	6663	0.86	0.88	0.87	0.66	0.74	0.48
KN809134.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809134.1:1:10837:1 REF	160	0.14	0.89	0.66	0.96	0.93	0.95
KN809134.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809134.1:1:10837:1 REF	176	0.14	0.89	1.00	1.00	0.87	0.30
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1224	0.93	0.82	1.00	0.93	0.94	0.67
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1235	0.91	0.71	0.91	0.86	0.94	0.70
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1237	0.94	0.71	0.91	0.79	0.59	0.50
KN809179.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809179.1:1:9258:1 REF	9071	0.98	0.12	1.00	0.95	0.52	0.92
KN809217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809217.1:1:8054:1 REF	3862	0.10	0.13	0.50	0.27	0.35	0.40
KN809225.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809225.1:1:9808:1 REF	9142	1.00	1.00	0.76	1.00	0.29	0.90
KN809225.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809225.1:1:9808:1 REF	9169	0.70	1.00	0.93	0.91	0.38	0.90
KN809230.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809230.1:1:8182:1 REF	7285	0.96	0.98	0.75	1.00	0.96	0.63
KN809317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809317.1:1:7841:1 REF	7554	0.73	0.68	0.75	0.69	0.72	0.70
KN809340.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809340.1:1:9561:1 REF	826	0.86	0.82	0.69	0.88	0.89	0.89
KN809631.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809631.1:1:8662:1 REF	3259	0.82	0.81	0.97	0.83	0.59	0.67
KN809631.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809631.1:1:8662:1 REF	3261	0.93	0.84	0.97	0.80	0.63	0.91
KN809631.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809631.1:1:8662:1 REF	3266	0.89	0.84	0.97	0.87	0.66	0.94
KN809631.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809631.1:1:8662:1 REF	3272	0.95	0.86	1.00	0.94	0.92	0.94
KN809687.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809687.1:1:6294:1 REF	42	0.71	0.85	0.72	0.57	0.56	0.50
KN809687.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809687.1:1:6294:1 REF	52	0.64	0.83	0.52	0.52	0.42	0.58
KN809756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809756.1:1:5778:1 REF	1937	0.66	0.45	1.00	0.84	0.77	0.76
KN809794.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809794.1:1:5663:1 REF	2421	1.00	0.96	1.00	0.97	0.29	0.96
KN809794.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809794.1:1:5663:1 REF	2425	0.94	1.00	1.00	1.00	0.97	0.96
KN809794.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809794.1:1:5663:1 REF	2431	1.00	1.00	1.00	0.51	0.68	0.96
KN809794.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809794.1:1:5663:1 REF	2447	0.38	1.00	1.00	1.00	0.94	0.95
KN809796.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809796.1:1:8730:1 REF	8374	0.31	0.74	1.00	0.92	0.97	1.00
KN809941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809941.1:1:7889:1 REF	1607	0.64	0.67	0.74	0.64	0.78	0.65
KN809944.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809944.1:1:5246:1 REF	717	0.93	1.00	1.00	0.98	0.97	1.00
KN809961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809961.1:1:5308:1 REF	2775	0.96	1.00	1.00	0.98	1.00	1.00
KN809962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809962.1:1:5206:1 REF	5047	1.00	0.98	1.00	0.96	1.00	1.00
KN809962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809962.1:1:5206:1 REF	5056	0.98	1.00	1.00	1.00	1.00	1.00
KN810031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810031.1:1:5446:1 REF	4502	0.12	0.13	0.38	0.85	0.75	1.00
KN810031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810031.1:1:5446:1 REF	4503	0.39	0.14	0.14	0.74	0.97	0.81
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7660	1.00	1.00	1.00	0.80	1.00	1.00
KN810067.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810067.1:1:9083:1 REF	7676	1.00	0.92	0.81	0.97	1.00	0.71
KN810126.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810126.1:1:4985:1 REF	810	0.96	0.40	0.18	1.00	1.00	0.99
KN810159.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810159.1:1:4784:1 REF	992	0.96	0.70	0.91	0.98	0.94	0.90
KN810306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810306.1:1:5358:1 REF	2961	0.62	0.80	0.83	0.56	0.76	0.74
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1953	0.98	0.97	0.53	1.00	0.97	0.94
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1979	0.97	1.00	0.56	1.00	0.95	1.00
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1985	0.98	1.00	0.61	1.00	1.00	1.00
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1992	0.98	1.00	0.72	1.00	0.87	1.00
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	1997	0.98	1.00	0.61	1.00	0.95	0.91
KN810318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810318.1:1:4372:1 REF	2000	0.98	1.00	0.72	1.00	1.00	1.00
KN810347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810347.1:1:4356:1 REF	4132	0.84	0.81	0.73	0.80	0.88	0.75
KN810385.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810385.1:1:4153:1 REF	2414	0.94	0.42	1.00	0.95	0.38	0.89
KN810439.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810439.1:1:4141:1 REF	2500	1.00	1.00	1.00	0.95	0.91	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3374	1.00	0.71	0.36	0.99	0.61	0.88
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3390	1.00	0.94	1.00	0.90	1.00	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3396	1.00	1.00	1.00	0.88	1.00	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3400	1.00	1.00	1.00	0.75	0.67	1.00
KN810514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810514.1:1:3851:1 REF	3404	1.00	0.82	0.82	0.91	0.56	0.80
KN810606.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810606.1:1:3600:1 REF	3005	0.59	0.42	0.97	0.51	0.57	0.27
KN810941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810941.1:1:2936:1 REF	1056	0.65	1.00	0.73	0.94	0.55	0.97
KN811024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811024.1:1:3388:1 REF	1968	0.96	0.22	1.00	0.85	0.55	0.92
KN811133.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811133.1:1:2519:1 REF	470	0.60	1.00	1.00	0.69	0.88	0.73
KN811133.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811133.1:1:2519:1 REF	483	0.60	0.96	1.00	0.92	0.88	0.79
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	657745	0.94	0.83	0.96	0.97	0.90	0.98
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	657757	0.87	0.67	0.79	0.93	0.84	0.93
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	1592267	0.75	0.33	0.92	0.60	0.73	0.96
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222356	0.88	0.91	0.87	0.73	0.94	0.96
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222369	0.74	0.92	1.00	0.73	0.78	0.97
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612195	0.54	0.37	0.79	0.56	0.77	0.81
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612200	0.57	0.27	0.79	0.83	0.77	0.52
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	612202	0.48	0.43	0.74	0.53	0.84	0.82
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	802847	0.45	0.88	0.33	0.52	0.66	0.18
KN811284.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811284.1:1:3379791:1 REF	1988794	0.56	0.79	1.00	0.91	1.00	1.00
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353020	0.56	0.56	0.48	0.75	0.50	0.65
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353072	0.48	0.19	0.69	0.32	0.34	0.42
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353127	0.94	0.84	0.97	0.96	0.90	0.95
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353149	0.46	1.00	0.90	0.90	0.80	0.57
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2478283	0.86	0.74	0.74	0.68	0.76	0.77
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967222	1.00	1.00	0.77	0.97	0.99	0.88
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2967243	0.96	0.95	0.61	0.97	0.98	0.94
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	3115119	0.90	0.95	0.83	0.89	0.92	0.91
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	3115139	1.00	1.00	0.92	0.95	0.83	0.93
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	1889866	0.61	0.83	0.60	0.58	0.69	0.43
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	1928950	0.57	0.11	0.25	0.92	0.86	0.38
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	1928958	0.52	0.94	0.25	0.78	0.98	0.75
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2134227	0.94	0.96	1.00	0.84	0.82	0.17
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172262	0.85	0.75	1.00	0.97	0.89	0.93
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172268	0.93	0.83	0.94	0.93	1.00	0.79
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172273	0.90	0.67	0.94	1.00	0.89	0.76
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172275	0.85	0.83	0.94	0.93	1.00	0.85
KN811286.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811286.1:1:3355243:1 REF	2172307	0.38	0.53	0.87	0.90	0.62	0.79
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	124301	0.87	0.38	0.57	0.89	0.77	0.77
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	124303	0.96	1.00	1.00	1.00	0.79	1.00
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	124308	0.94	1.00	1.00	0.67	0.95	0.92
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	124314	0.96	1.00	0.79	1.00	0.97	0.92
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	258916	0.96	0.62	0.94	1.00	0.91	0.84
KN811287.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811287.1:1:3396179:1 REF	1545424	0.89	0.25	1.00	0.83	0.84	0.90
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	169115	0.59	0.71	0.71	0.48	0.62	0.60
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	1629757	0.63	0.47	0.66	0.58	0.96	1.00
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	1629767	0.93	1.00	0.76	0.97	1.00	0.97
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	1629787	0.52	0.92	0.63	0.26	0.90	0.97
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	2665749	0.34	0.38	0.53	0.44	0.26	0.33
KN811288.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811288.1:1:3251656:1 REF	2906495	0.65	0.64	0.14	0.21	0.16	0.57
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	657544	0.91	0.89	0.69	1.00	0.41	0.28
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	1863216	0.94	0.89	0.83	0.98	0.95	0.92
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	1863219	0.94	1.00	0.83	1.00	0.97	0.92
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	1863232	0.94	1.00	0.83	0.74	0.92	0.94
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	2656407	0.92	1.00	0.96	0.91	0.92	0.89
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296671	0.94	0.80	1.00	0.98	0.99	0.98
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296839	0.89	0.86	0.92	0.34	0.86	0.93
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296859	0.98	0.93	0.95	0.95	0.94	0.93
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296869	0.91	0.76	0.78	0.90	0.67	1.00
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296891	0.98	1.00	1.00	1.00	0.98	0.88
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296903	0.98	0.86	0.94	0.97	0.27	0.76
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296938	0.77	0.57	0.19	0.48	0.52	0.69
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4349507	0.96	0.29	1.00	0.75	0.31	0.36
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	5880637	0.35	0.12	0.45	0.40	0.41	0.91
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	1489085	1.00	1.00	1.00	0.64	0.79	1.00
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	1489094	1.00	1.00	1.00	1.00	1.00	1.00
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749312	0.95	0.89	0.93	1.00	0.96	0.91
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749318	0.82	0.95	0.97	0.88	0.93	0.92
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749323	0.90	0.84	1.00	0.96	0.87	0.85
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749325	0.81	0.92	1.00	0.88	0.86	0.89
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749357	0.80	0.84	0.77	0.88	0.77	0.85
KN811290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811290.1:1:3145096:1 REF	2749429	0.86	1.00	1.00	0.96	0.88	0.98
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	681034	0.62	0.33	0.42	0.33	0.79	0.53
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225248	0.98	0.70	1.00	0.81	0.95	0.88
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225254	0.80	0.70	1.00	0.68	0.89	0.88
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225273	0.82	0.70	1.00	0.76	0.98	0.81
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	1225287	0.73	0.70	0.62	0.61	0.76	0.75
